species,lat,long,elevation,country,bor
Abatia parviflora,-10.38333,-75.46666,2250.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-14.151528,-68.732694,1219.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha cuneata,-14.147889,-68.741417,1248.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha cuneata,-14.144861,-68.744944,1250.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha cuneata,-14.156083,-68.733861,1297.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha cuneata,-14.155389,-68.720528,1145.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha cuneata,-14.157222,-68.728944,1124.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha cuneata,-14.20611,-68.66194,960.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha cuneata,-14.199722,-68.651944,940.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha cuneata,-14.200278,-68.655833,840.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha cuneata,-14.198889,-68.639722,1150.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha cuneata,-14.212778,-68.511111,660.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha cuneata,-14.208333,-68.647222,798.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha cuneata,-13.904667,-68.156278,905.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha cuneata,-13.89725,-68.165056,780.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha cuneata,-13.89722,-68.165,780.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha cuneata,-13.90444,-68.15611,905.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha cuneata,-11.92,-72.77,535.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-11.932,-72.7775,535.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-11.87,-72.93,400.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-11.87,-72.9411,400.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-14.73,-66.27,220.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha cuneata,-14.72,-66.32,220.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha cuneata,-14.3,-68.57,1350.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha cuneata,-12.783333,-72.666667,750.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-11.887778,-71.4075,400.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-13.58,-68.77,280.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha cuneata,-13.58333,-68.76666,280.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha cuneata,-12.78,-72.67,670.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-12.783333,-72.666667,670.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-11.75,-71.0,400.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-11.75,-71.16666,400.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-10.33,-75.0,700.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-10.33,-74.97,350.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-10.33333,-74.96666,350.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-10.33333,-75.0,700.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-12.583333,-71.25,550.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-10.933333,-75.15,900.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-14.2333,-63.5167,914.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-10.183333,-75.574444,1031.0,Peru,PRESERVED_SPECIMEN
Acalypha diversifolia,-13.441972,-67.902028,225.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-11.97,-73.677778,1041.0,Peru,PRESERVED_SPECIMEN
Acalypha diversifolia,-14.4275,-67.915833,350.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-14.576667,-68.779444,1096.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-14.147889,-68.741417,1248.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-14.144861,-68.744944,1250.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-14.494722,-68.509167,740.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-14.200278,-68.655833,840.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-14.206389,-68.641389,873.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-14.543055,-68.493889,969.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-14.540555,-68.496111,1022.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-14.438889,-67.536389,250.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-14.979722,-67.789722,430.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-14.976667,-67.793333,400.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-14.56083,-67.6775,270.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-14.55916,-67.67305,320.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-14.61416,-67.65277,280.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-14.62583,-67.66083,220.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-14.349167,-67.970833,367.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-14.357222,-67.961111,362.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-14.346944,-67.980556,361.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-14.366389,-67.972778,335.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-13.133333,-69.6,285.0,Peru,PRESERVED_SPECIMEN
Acalypha diversifolia,-14.20777,-67.94888,560.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-14.19527,-67.97194,610.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-14.22555,-67.94361,530.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-10.07,-71.1,325.0,Peru,PRESERVED_SPECIMEN
Acalypha diversifolia,-13.9275,-68.205,550.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-10.066667,-71.1,250.0,Peru,PRESERVED_SPECIMEN
Acalypha diversifolia,-12.85,-70.95,350.0,Peru,PRESERVED_SPECIMEN
Acalypha diversifolia,-14.7,-66.45,220.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-14.75,-66.33,220.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-14.1,-67.866667,375.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
