species,lat,long,elevation,country,bor
Abatia parviflora,5.728333,-73.523111,2406.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,6.636944,-76.133333,2500.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,5.416056,-75.354139,2956.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,5.086917,-75.4055,2930.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,5.080944,-75.404306,3032.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,5.101439,-75.39225,3158.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,5.102628,-75.392667,3120.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,5.104194,-75.389583,3259.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,5.0865,-75.406806,2934.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,5.077694,-75.404111,3080.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,5.118708,-75.382167,3297.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,5.073833,-75.408083,2945.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,5.078389,-75.406111,2976.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,5.7,-73.4511,2850.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,5.7,-73.45,2850.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,5.029167,-75.390833,2750.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,5.683333,-73.483333,2600.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,5.151867,-75.424094,2400.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,7.035194,-75.974167,2640.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,5.008197,-75.439387,2300.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,5.53193,-75.806694,2625.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,5.533333,-75.8,2625.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,6.3934,-76.2509,3120.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,6.45,-76.76666,3120.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,6.316667,-75.683333,2560.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,6.32,-75.68,2560.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,6.31666,-75.68333,2560.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,6.316667,-75.683333,2640.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,6.3,-75.68333,2640.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,6.07783,-75.6025,2240.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,6.08048,-75.61751,2440.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,6.435969,-76.080415,3330.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,6.416667,-76.083333,2900.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,6.464,-76.029999,3160.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,6.316667,-75.683333,2500.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,5.14493,-76.0128,2285.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,5.144929,-76.012805,2285.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,6.39806,-76.0603,2544.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,6.398056,-76.060278,2544.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,5.58417,-73.5417,1990.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,5.584167,-73.541667,1990.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,5.750761,-73.434033,2600.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,6.13,-76.22,2700.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,5.60327,-73.9293,2500.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,6.3,-75.6833,2640.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,6.3,-75.683334,2640.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,5.603274,-73.929287,2500.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,5.172697,-75.364069,3370.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,6.213333,-75.492278,2500.0,Colombia,PRESERVED_SPECIMEN
Acalypha cuneata,7.033528,-73.342,466.0,Colombia,PRESERVED_SPECIMEN
Acalypha cuneata,7.059083,-73.332639,359.0,Colombia,PRESERVED_SPECIMEN
Acalypha cuneata,7.09075,-73.329028,347.0,Colombia,PRESERVED_SPECIMEN
Acalypha cuneata,5.881139,-74.843944,400.0,Colombia,PRESERVED_SPECIMEN
Acalypha cuneata,5.888403,-74.846853,400.0,Colombia,PRESERVED_SPECIMEN
Acalypha cuneata,5.054167,-72.795472,457.0,Colombia,PRESERVED_SPECIMEN
