species,lat,long,elevation,country,bor
Abatia parviflora,4.670277,-74.100833,2551.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,4.485944,-74.109861,2826.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,4.735083,-74.140667,2576.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,4.613972,-74.059806,2762.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,4.945181,-74.247108,2716.5,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,4.641728,-74.148578,2545.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,4.436972,-74.14425,2879.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,4.436417,-74.14975,2986.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,4.439833,-74.148917,2928.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,0.16667,-78.36667,2850.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,4.862406,-74.012783,2796.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,4.799642,-73.920628,2890.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,4.799542,-73.9176,2890.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,0.14583,-78.32306,2750.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,4.16925,-74.16795,3051.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,4.438139,-74.171667,3339.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,4.568558,-74.295281,2534.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,1.162667,-77.152747,2880.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,1.20247,-76.96247,2760.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,4.791833,-73.913917,3000.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,4.791944,-73.913889,3000.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,4.182084,-75.743211,3150.0,Colombia,PRESERVED_SPECIMEN
Abatia parviflora,1.12896,-77.07661,2950.0,Colombia,PRESERVED_SPECIMEN
