species,lat,long,elevation,country,bor
Abatia parviflora,-4.71167,-79.44028,3115.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-4.486486,-79.123422,2429.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-3.811111,-78.607778,1400.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-3.966667,-79.066667,2000.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-4.481111,-79.149167,2650.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-4.495556,-79.131944,2500.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-4.49555,-79.13194,2500.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-1.365,-79.09694,2510.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-2.53861,-79.14361,2440.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-2.2636,-78.9186,579.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-2.263611,-78.918611,2000.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-0.10555,-78.61555,2670.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-4.048,-79.229,2550.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-4.0489,-79.2292,2550.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-4.04888,-79.22916,2550.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-4.11055,-79.18777,2670.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-4.5,-79.15,2450.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-2.694722,-78.764444,2850.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-2.959722,-79.124444,3100.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-2.878611,-79.164167,3000.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-4.0,-79.2,2775.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-2.633333,-78.583333,2700.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-1.97,-78.93,3000.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-1.96666,-78.93333,3000.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-4.362633,-79.174606,2600.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-3.56027,-79.37,2760.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-2.910278,-79.154444,3200.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-1.15,-78.95,2950.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-0.3333,-78.4333,2900.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-1.86666,-79.05,2600.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-3.9,-79.266,2475.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-3.9,-79.26666,2475.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-3.0,-78.61666,2500.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-4.86666,-79.95,3000.0,Peru,PRESERVED_SPECIMEN
Abatia parviflora,-1.05,-78.15,2700.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-1.83,-79.08,2100.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-0.03333,-78.63333,3030.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-3.80833,-79.2333,2316.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-1.133,-78.983,2950.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-2.366,-78.916,2750.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-2.36666,-78.91666,2750.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-2.9,-79.0666,3100.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,0.0,-78.483,2850.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,0.0,-78.48333,2850.0,Ecuador,PRESERVED_SPECIMEN
Abatia parviflora,-0.033,-78.633,3030.0,Ecuador,PRESERVED_SPECIMEN
Acalypha cuneata,-0.827778,-77.563611,1150.0,Ecuador,PRESERVED_SPECIMEN
Acalypha cuneata,-2.610611,-71.48575,155.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-3.198778,-70.899028,160.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-0.203889,-76.686389,264.0,Ecuador,PRESERVED_SPECIMEN
Acalypha cuneata,-0.350556,-76.861111,269.0,Ecuador,PRESERVED_SPECIMEN
Acalypha cuneata,-1.96667,-78.95,1522.0,Ecuador,PRESERVED_SPECIMEN
Acalypha cuneata,-1.0425,-76.886389,245.0,Ecuador,PRESERVED_SPECIMEN
Acalypha cuneata,-0.378611,-76.552222,280.0,Ecuador,PRESERVED_SPECIMEN
Acalypha cuneata,-0.445278,-76.606944,280.0,Ecuador,PRESERVED_SPECIMEN
Acalypha cuneata,-2.53333,-77.9,650.0,Ecuador,PRESERVED_SPECIMEN
Acalypha cuneata,-2.33333,-78.06666,1150.0,Ecuador,PRESERVED_SPECIMEN
Acalypha cuneata,-1.5,-77.93333,1040.0,Ecuador,PRESERVED_SPECIMEN
Acalypha cuneata,-1.4,-78.2,1520.0,Ecuador,PRESERVED_SPECIMEN
Acalypha cuneata,-1.75,-77.85,1336.0,Ecuador,PRESERVED_SPECIMEN
Acalypha cuneata,-2.3875,-78.16694,948.0,Ecuador,PRESERVED_SPECIMEN
Acalypha cuneata,-1.45,-78.21666,1520.0,Ecuador,PRESERVED_SPECIMEN
Acalypha cuneata,-1.75,-77.91666,1336.0,Ecuador,PRESERVED_SPECIMEN
