species,lat,long,elevation,country,bor
Abatia parviflora,-5.7025,-77.8075,2150.0,Peru,PRESERVED_SPECIMEN
Abatia parviflora,-5.30333,-79.28305,2050.0,Peru,PRESERVED_SPECIMEN
Abatia parviflora,-5.151111,-79.434722,2250.0,Peru,PRESERVED_SPECIMEN
Abatia parviflora,-9.733333,-76.083333,2800.0,Peru,PRESERVED_SPECIMEN
Abatia parviflora,-9.76666,-76.08333,2400.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-5.888889,-76.622222,600.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-8.1522,-74.2581,162.5,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-7.9347,-73.8808,287.5,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-9.05,-75.67,375.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-7.9444,-73.8936,300.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-9.05,-75.67,425.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-5.030833,-78.338333,350.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-5.04,-78.32,650.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-5.01,-78.34,240.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-6.978611,-75.3675,350.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-9.48,-74.83,360.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-6.42,-76.25,1000.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-6.41666,-76.25,1000.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-6.5,-76.35,530.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-5.893333,-77.996111,1875.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-9.17,-75.8,1500.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-9.16666,-75.8,1500.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-9.19361,-75.79444,1584.96,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-9.3,-75.98333,700.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-9.16638,-75.79222,1550.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-8.00388,-76.65,350.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-5.28333,-78.38333,650.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-9.083333,-75.566667,460.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-5.891847,-76.15145,182.5,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-5.8894,-76.604361,525.0,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-5.896839,-76.107846,182.5,Peru,PRESERVED_SPECIMEN
Acalypha cuneata,-5.909391,-76.09154,182.5,Peru,PRESERVED_SPECIMEN
Acalypha diversifolia,-9.05,-75.67,425.0,Peru,PRESERVED_SPECIMEN
Acalypha diversifolia,-9.08,-75.43,350.0,Peru,PRESERVED_SPECIMEN
Acalypha diversifolia,-9.62,-74.93,260.0,Peru,PRESERVED_SPECIMEN
Acalypha diversifolia,-5.75,-77.48,1450.0,Peru,PRESERVED_SPECIMEN
Acalypha diversifolia,-5.75,-77.483333,1450.0,Peru,PRESERVED_SPECIMEN
Acalypha diversifolia,-5.75,-77.48333,1450.0,Peru,PRESERVED_SPECIMEN
Acalypha diversifolia,-5.92,-76.13,180.0,Peru,PRESERVED_SPECIMEN
Acalypha diversifolia,-5.833333,-77.75,1960.0,Peru,PRESERVED_SPECIMEN
Acalypha diversifolia,-9.3,-74.95,275.0,Peru,PRESERVED_SPECIMEN
Acalypha diversifolia,-9.218333,-75.845555,1200.0,Peru,PRESERVED_SPECIMEN
