species,lat,long,elevation,country,bor
Acalypha cuneata,-15.95,-67.17,550.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha cuneata,-16.4,-67.52,900.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha cuneata,-15.55,-67.75,865.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha cuneata,-17.68333,-68.58333,825.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha cuneata,-15.48333,-67.88333,609.6,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha cuneata,-16.03,-67.17,620.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha cuneata,-15.3,-68.22,620.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha cuneata,-15.68,-67.25,720.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha cuneata,-15.6833,-67.25,914.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-16.640556,-64.506389,192.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-17.49833,-63.65055,390.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-17.07916,-65.46333,510.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-18.016667,-63.366667,662.5,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-18.47,-67.08,500.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-15.53,-67.35,600.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-15.03333,-67.6,440.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-17.25,-63.9,265.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-15.57111,-67.335,475.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-17.38,-63.53,295.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-17.57,-63.73,350.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-17.68,-63.62,450.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-17.68,-63.57,400.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-17.28,-63.15,275.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-15.5,-67.33,600.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-17.75,-63.53,450.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-17.566667,-63.733333,350.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-16.22,-67.75,1400.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-16.21666,-67.75,1400.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-16.05,-68.02,1300.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-15.45,-67.83,820.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-15.45,-67.83333,820.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-15.68333,-67.25,825.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-17.2333,-65.8167,1600.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-15.66666,-67.25,548.64,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-16.3333,-66.75,1829.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-18.10833,-63.95,350.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-17.5,-63.6,280.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-18.10833,-63.95,450.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha diversifolia,-17.5,-63.6,400.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-17.045278,-65.517778,600.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-16.895,-64.803333,205.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-17.040833,-65.529722,800.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-17.173333,-65.807778,1810.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-16.800556,-64.810278,200.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-17.019167,-65.523611,530.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-16.78166,-64.23138,220.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-16.69527,-66.72083,2470.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-15.038611,-68.448333,1020.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-17.09416,-65.49861,800.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-17.08861,-65.49305,690.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-16.66555,-64.50722,180.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-16.2,-67.833333,1400.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-16.833333,-63.375,240.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-17.4,-64.13333,275.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-16.83333,-63.36666,240.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-17.266667,-64.216667,240.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-17.26666,-64.21666,240.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-17.55,-63.86666,500.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-17.39166,-64.08333,350.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-16.35,-67.5,1600.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-17.57,-63.87,512.5,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-15.53333,-67.26667,420.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-15.55,-67.333333,750.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-16.2,-67.87,1400.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-16.2,-67.866667,1400.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-17.83333,-63.8,1340.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-17.83333,-63.8,1050.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-16.147208,-67.733333,1375.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-16.12,-67.75,1375.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-16.11666,-67.75,1375.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-15.28,-67.07,1035.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-15.28333,-67.06666,1035.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-17.7,-63.58,480.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-17.65,-63.71666,400.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-17.65,-63.7,400.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-17.65,-63.58,400.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-17.73,-63.67,700.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-17.73333,-63.66666,700.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-16.05,-68.02,1300.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-16.05,-68.016667,1300.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-16.35,-67.833333,1400.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-16.2,-67.833333,1450.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-16.11666,-67.13333,825.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha macrostachya,-17.233333,-65.816667,2500.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
