species,lat,long,elevation,country,bor
Acalypha diversifolia,-21.5,-75.85,650.0,Ecuador,PRESERVED_SPECIMEN
Acalypha diversifolia,-21.5,-78.8542,1400.0,Ecuador,PRESERVED_SPECIMEN
Acalypha stricta,-21.073333,-64.259722,1372.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha stricta,-22.1575,-64.41194,1181.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Acalypha stricta,-20.3225,-64.03333,1416.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Achatocarpus praecox,-21.400278,-63.131389,435.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Achatocarpus praecox,-21.152222,-64.237222,828.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Achatocarpus praecox,-21.677778,-63.661667,940.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Achatocarpus praecox,-21.163056,-64.246944,1077.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Achatocarpus praecox,-21.14083,-64.3075,889.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Achatocarpus praecox,-21.19,-63.4083,430.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Achatocarpus praecox,-21.19,-63.40833,430.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Achatocarpus praecox,-21.21305,-63.39138,420.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Achatocarpus praecox,-20.68,-63.30277,762.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Achatocarpus praecox,-21.106944,-64.235556,1078.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Achatocarpus praecox,-20.915278,-64.111389,683.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Achatocarpus praecox,-23.81666,-64.41666,489.0,Argentina,PRESERVED_SPECIMEN
Achatocarpus praecox,-20.2,-63.4,830.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Achatocarpus praecox,-20.40027,-63.92972,1300.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Achatocarpus praecox,-20.66666,-63.16666,750.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Achatocarpus praecox,-24.66666,-65.5,1350.0,Argentina,PRESERVED_SPECIMEN
Aegiphila saltensis,-22.440278,-64.371667,1211.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Aegiphila saltensis,-20.76,-64.513056,1650.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Aegiphila saltensis,-21.968056,-64.519167,1551.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Aegiphila saltensis,-22.2,-64.533333,950.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Aegiphila saltensis,-22.732056,-64.337244,1060.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Aegiphila saltensis,-22.666667,-64.616667,690.0,Argentina,PRESERVED_SPECIMEN
Agonandra excelsa,-23.81666,-64.41666,489.0,Argentina,PRESERVED_SPECIMEN
Agonandra excelsa,-20.40805,-63.9775,1322.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Albizia niopoides,-20.40027,-63.92972,1300.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Allophylus edulis,-23.757778,-64.853611,690.0,Argentina,PRESERVED_SPECIMEN
Allophylus edulis,-23.75,-64.87,690.0,Argentina,PRESERVED_SPECIMEN
Allophylus edulis,-21.414167,-64.287778,1934.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Allophylus edulis,-20.51194,-63.8575,973.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Allophylus edulis,-21.055833,-64.343361,1855.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Allophylus edulis,-21.645,-63.657222,1200.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Allophylus edulis,-20.70166,-63.78027,1090.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Allophylus edulis,-20.211944,-64.300833,2314.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Allophylus edulis,-21.080556,-64.338333,1478.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Allophylus edulis,-20.1,-64.21666,1200.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Allophylus edulis,-21.741111,-64.455278,1290.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Allophylus edulis,-21.42,-64.27,1750.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Allophylus edulis,-21.066944,-64.253333,1497.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Allophylus edulis,-21.08055,-64.33833,1478.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Allophylus edulis,-21.092778,-64.272778,1408.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Allophylus edulis,-20.333056,-64.045556,1630.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Allophylus edulis,-20.339167,-64.043055,1450.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Allophylus edulis,-20.287778,-64.048889,1993.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Allophylus edulis,-20.76,-64.51305,1650.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Allophylus edulis,-22.24916,-64.54944,890.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Allophylus edulis,-24.25,-64.45,1370.0,Argentina,PRESERVED_SPECIMEN
Allophylus edulis,-20.40027,-63.92972,1300.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Allophylus edulis,-22.35,-64.71666,1744.0,Argentina,PRESERVED_SPECIMEN
Allophylus edulis,-22.41666,-64.71666,1135.0,Argentina,PRESERVED_SPECIMEN
Allophylus edulis,-22.46666,-64.73333,1676.0,Argentina,PRESERVED_SPECIMEN
Allophylus edulis,-22.3331,-64.3939,770.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Allophylus edulis,-21.8,-64.233333,1300.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Allophylus edulis,-23.66666,-64.9,1620.0,Argentina,PRESERVED_SPECIMEN
Allophylus edulis,-24.06666,-65.46666,1950.0,Argentina,PRESERVED_SPECIMEN
Allophylus edulis,-24.31666,-65.05,930.0,Argentina,PRESERVED_SPECIMEN
Allophylus edulis,-24.26666,-64.23333,800.0,Argentina,PRESERVED_SPECIMEN
Allophylus edulis,-23.0731,-64.7519,650.0,Argentina,PRESERVED_SPECIMEN
Allophylus edulis,-23.111111,-64.871389,1180.0,Argentina,PRESERVED_SPECIMEN
Allophylus edulis,-20.83333,-64.36666,1975.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Allophylus edulis,-20.83333,-64.38333,1850.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Allophylus edulis,-21.43333,-64.23333,1850.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
Allophylus edulis,-21.333333,-64.25,1600.0,Bolivia (Plurinational State of),PRESERVED_SPECIMEN
