region,elevation,q1,q2
a.10.5,0-99,0,0
a.10.5,100-199,228,118
a.10.5,200-299,238,152
a.10.5,300-399,229,122
a.10.5,400-499,267,131
a.10.5,500-599,223,129
a.10.5,600-699,175,126
a.10.5,700-799,206,100
a.10.5,800-899,230,121
a.10.5,900-999,231,128
a.10.5,1000-1099,199,96
a.10.5,1100-1199,225,105
a.10.5,1200-1299,220,75
a.10.5,1300-1399,205,90
a.10.5,1400-1499,226,115
a.10.5,1500-1599,178,97
a.10.5,1600-1699,194,101
a.10.5,1700-1799,197,108
a.10.5,1800-1899,168,90
a.10.5,1900-1999,157,102
a.10.5,2000-2099,228,96
a.10.5,2100-2199,186,84
a.10.5,2200-2299,181,97
a.10.5,2300-2399,169,77
a.10.5,2400-2499,152,75
a.10.5,2500-2599,143,57
a.10.5,2600-2699,126,62
a.10.5,2700-2799,105,55
a.10.5,2800-2899,104,34
a.10.5,2900-2999,88,40
a.10.5,3000-3099,81,35
a.10.5,3100-3199,56,23
a.10.5,3200-3299,77,18
a.10.5,3300-3399,57,20
a.10.5,3400-3499,44,19
a.10.5,3500-3599,41,11
a.10.5,3600-3699,35,7
a.10.5,3700-3799,13,8
a.10.5,3800-3899,10,5
a.10.5,3900-3999,7,0
a.10.5,4000-4099,2,2
b.5.0,0-99,0,0
b.5.0,100-199,240,110
b.5.0,200-299,225,154
b.5.0,300-399,255,152
b.5.0,400-499,233,132
b.5.0,500-599,277,148
b.5.0,600-699,273,132
b.5.0,700-799,297,131
b.5.0,800-899,275,114
b.5.0,900-999,280,128
b.5.0,1000-1099,250,126
b.5.0,1100-1199,234,100
b.5.0,1200-1299,270,107
b.5.0,1300-1399,256,100
b.5.0,1400-1499,226,95
b.5.0,1500-1599,248,111
b.5.0,1600-1699,226,99
b.5.0,1700-1799,197,95
b.5.0,1800-1899,241,116
b.5.0,1900-1999,192,98
b.5.0,2000-2099,190,87
b.5.0,2100-2199,181,84
b.5.0,2200-2299,154,83
b.5.0,2300-2399,167,74
b.5.0,2400-2499,131,65
b.5.0,2500-2599,143,73
b.5.0,2600-2699,124,67
b.5.0,2700-2799,108,59
b.5.0,2800-2899,110,45
b.5.0,2900-2999,86,37
b.5.0,3000-3099,125,44
b.5.0,3100-3199,64,31
b.5.0,3200-3299,81,25
b.5.0,3300-3399,67,23
b.5.0,3400-3499,52,20
b.5.0,3500-3599,48,21
b.5.0,3600-3699,25,11
b.5.0,3700-3799,22,5
b.5.0,3800-3899,11,5
b.5.0,3900-3999,24,1
b.5.0,4000-4099,1,0
c.0.-5,0-99,0,0
c.0.-5,100-199,205,161
c.0.-5,200-299,180,108
c.0.-5,300-399,190,113
c.0.-5,400-499,187,85
c.0.-5,500-599,235,146
c.0.-5,600-699,245,134
c.0.-5,700-799,220,80
c.0.-5,800-899,225,90
c.0.-5,900-999,225,106
c.0.-5,1000-1099,241,110
c.0.-5,1100-1199,205,108
c.0.-5,1200-1299,178,112
c.0.-5,1300-1399,207,70
c.0.-5,1400-1499,196,79
c.0.-5,1500-1599,221,98
c.0.-5,1600-1699,186,90
c.0.-5,1700-1799,199,99
c.0.-5,1800-1899,187,88
c.0.-5,1900-1999,176,85
c.0.-5,2000-2099,196,91
c.0.-5,2100-2199,150,77
c.0.-5,2200-2299,135,95
c.0.-5,2300-2399,136,71
c.0.-5,2400-2499,124,58
c.0.-5,2500-2599,107,54
c.0.-5,2600-2699,97,53
c.0.-5,2700-2799,81,54
c.0.-5,2800-2899,74,44
c.0.-5,2900-2999,46,33
c.0.-5,3000-3099,71,37
c.0.-5,3100-3199,49,26
c.0.-5,3200-3299,42,21
c.0.-5,3300-3399,26,15
c.0.-5,3400-3499,24,9
c.0.-5,3500-3599,12,8
c.0.-5,3600-3699,17,4
c.0.-5,3700-3799,14,3
c.0.-5,3800-3899,5,4
