species,0-99,100-199,200-299,300-399,400-499,500-599,600-699,700-799,800-899,900-999,1000-1099,1100-1199,1200-1299,1300-1399,1400-1499,1500-1599,1600-1699,1700-1799,1800-1899,1900-1999,2000-2099,2100-2199,2200-2299,2300-2399,2400-2499,2500-2599,2600-2699,2700-2799,2800-2899,2900-2999,3000-3099,3100-3199,3200-3299,3300-3399,3400-3499,3500-3599,3600-3699,3700-3799,3800-3899,3900-3999,4000-4099
Abatia parviflora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,3,10,9,2,2,6,2,5,2,2,0,0,0,0,0,0,0
Acalypha cuneata,0,2,0,6,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acalypha diversifolia,0,21,20,40,17,33,24,24,19,34,18,8,12,4,6,8,3,3,8,6,0,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Acalypha macrostachya,0,7,10,19,10,30,19,23,25,17,18,15,10,16,15,13,22,11,14,12,8,6,6,2,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Acalypha stricta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achatocarpus nigricans,0,1,2,4,3,5,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adenocalymma aspericarpum,0,12,4,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aegiphila alba,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aegiphila bogotensis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,4,1,8,0,0,0,0,0,0,0,0,0
Aegiphila cuatrecasasii,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aegiphila integrifolia,0,4,2,5,4,12,10,7,7,1,1,5,1,0,0,0,1,1,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aegiphila laeta,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
