species,a.10.5,b.5.0,c.0.-5,d.-5.-10,e.-10.-15,f.-15.-20,g.-20.-25,num_of_regions
Abatia parviflora,1400,3300,2700,800,0,N/A,N/A,5
Acalypha cuneata,1100,1500,3100,1700,1100,400,N/A,6
Acalypha diversifolia,3100,2900,3700,1800,1700,1700,800,7
Acalypha macrostachya,3200,2600,1900,1500,2100,2400,N/A,6
Acalypha stricta,0,500,900,1700,1800,2200,300,7
Achatocarpus nigricans,1800,1300,N/A,N/A,N/A,1100,N/A,3
Adenocalymma aspericarpum,1300,300,N/A,N/A,N/A,N/A,N/A,2
Aegiphila alba,1900,2100,2800,0,N/A,N/A,N/A,4
Aegiphila bogotensis,2800,2200,2700,N/A,N/A,N/A,N/A,3
Aegiphila cuatrecasasii,1800,500,1700,N/A,200,N/A,N/A,4
Aegiphila integrifolia,2200,2000,1500,3000,1800,2000,N/A,6
Aegiphila laeta,2400,2100,N/A,N/A,N/A,N/A,N/A,2
Aegiphila panamensis,1500,1900,1900,500,1800,N/A,N/A,5
Aequatorium jamesonii,300,600,1000,N/A,N/A,N/A,N/A,3
Ageratina boyacensis,500,800,N/A,N/A,N/A,N/A,N/A,2
Ageratina glyptophlebia,1500,1600,N/A,N/A,N/A,N/A,N/A,2
Ageratina popayanensis,3600,2600,N/A,N/A,N/A,N/A,N/A,2
Ageratina tinifolia,2600,3600,100,N/A,N/A,N/A,N/A,3
Agouticarpa williamsii,2300,2100,1700,N/A,0,N/A,N/A,4
Aiouea dubia,2000,3200,1000,N/A,1600,N/A,N/A,4
Aiphanes hirsuta,1700,1500,N/A,N/A,N/A,N/A,N/A,2
Aiphanes horrida,2400,1300,0,100,1600,1000,N/A,6
Aiphanes linearis,1000,200,N/A,N/A,N/A,N/A,N/A,2
Aiphanes parvifolia,900,N/A,N/A,N/A,N/A,N/A,N/A,1
Albizia carbonaria,2100,700,N/A,N/A,2000,N/A,N/A,3
Albizia niopoides,1400,600,900,1000,1300,500,0,7
Albizia subdimidiata,700,500,0,0,0,100,N/A,6
Alchornea acutifolia,1400,2100,2400,1600,600,N/A,N/A,5
Alchornea bogotensis,600,1700,400,N/A,N/A,N/A,N/A,3
Alchornea brittonii,400,100,0,N/A,1600,1600,N/A,5
Alchornea coelophylla,1700,1900,1400,N/A,0,0,N/A,5
Alchornea costaricensis,1700,1700,400,N/A,N/A,N/A,N/A,3
Alchornea floribunda,500,0,0,N/A,N/A,N/A,N/A,3
Alchornea glandulosa,2600,3600,2500,2200,3000,2200,N/A,6
Alchornea grandiflora,2500,2700,2100,1800,2200,600,N/A,6
Alchornea grandis,1900,1800,1800,300,1100,0,N/A,6
Alchornea latifolia,2100,2600,2200,800,1200,1700,N/A,6
Alchornea megalophylla,1000,100,N/A,N/A,N/A,N/A,N/A,2
Alchornea pearcei,400,700,800,1400,1800,1400,N/A,6
Alchornea triplinervia,2700,3800,2900,1900,2300,2100,N/A,6
Alchornea verticillata,1600,0,N/A,N/A,N/A,N/A,N/A,2
Alchorneopsis floribunda,3700,800,1700,500,700,N/A,N/A,5
Alfaroa colombiana,1600,1200,N/A,N/A,N/A,N/A,N/A,2
Alfaroa williamsii,1300,400,N/A,N/A,N/A,N/A,N/A,2
Alibertia bertierifolia,100,700,400,100,500,500,N/A,6
Allomaieta hirsuta,1100,N/A,N/A,N/A,N/A,N/A,N/A,1
Allomaieta pancurana,900,N/A,N/A,N/A,N/A,N/A,N/A,1
Allomaieta villosa,900,N/A,N/A,N/A,N/A,N/A,N/A,1
Allophylus amazonicus,100,600,600,N/A,1000,0,N/A,5
Allophylus edulis,100,0,N/A,0,1000,2100,1700,6
Allophylus excelsus,2200,2400,2600,N/A,100,0,N/A,5
Allophylus floribundus,300,2300,1900,2400,2100,1800,N/A,6
Allophylus loretensis,0,N/A,700,200,1300,N/A,N/A,4
Allophylus psilospermus,900,0,2900,N/A,N/A,600,N/A,4
Allophylus punctatus,900,1100,1900,2100,1800,1900,N/A,6
Alnus acuminata,2000,3200,2400,3400,2000,3400,1600,7
Alseis blackiana,600,300,N/A,N/A,300,N/A,N/A,3
Chrysophyllum venezuelanense,600,1400,1900,2300,1400,600,N/A,6
Ciliosemina pedunculata,2300,1200,500,1000,N/A,N/A,N/A,4
Ciliosemina purdieana,400,N/A,N/A,N/A,N/A,N/A,N/A,1
Cinchona antioquiae,700,1100,N/A,N/A,N/A,N/A,N/A,2
Cinchona macrocalyx,0,0,1200,600,900,0,N/A,6
Cinchona officinalis,1500,1100,1700,0,1500,1100,N/A,6
Cinchona pubescens,3000,2800,2600,2200,2600,2900,N/A,6
Cinchonopsis amazonica,0,600,500,500,2000,N/A,N/A,5
Cissus trianae,2600,1000,1500,1600,1500,1000,N/A,6
Citharexylum montanum,400,2000,1400,N/A,N/A,N/A,N/A,3
Citronella incarum,1000,2600,2700,2700,3000,400,N/A,6
Citrus X aurantium,2400,3000,2700,1100,100,0,500,7
Citrus limon,2100,2400,2500,1100,N/A,0,N/A,5
Clarisia biflora,2100,2000,1700,2000,2800,1300,N/A,6
Clarisia racemosa,1900,2300,1200,800,1300,1100,N/A,6
Clathrotropis brunnea,1400,N/A,N/A,N/A,N/A,N/A,N/A,1
Clavija cauliflora,300,400,N/A,N/A,N/A,N/A,N/A,2
Clavija mezii,800,0,N/A,N/A,N/A,N/A,N/A,2
Clethra fagifolia,3100,2500,2000,N/A,0,0,N/A,5
Clethra fimbriata,1800,3300,2500,1300,0,600,N/A,6
Clethra ovalifolia,1600,1000,1800,1300,N/A,N/A,N/A,4
Clethra revoluta,3100,2600,2000,1500,2500,1200,N/A,6
Clethra scabra,0,0,0,0,2600,2800,2000,7
Clitoria arborea,200,500,1200,2000,600,200,N/A,6
Clusia alata,3000,1900,1800,200,900,N/A,N/A,5
Clusia articulata,3000,N/A,0,N/A,N/A,N/A,N/A,2
Clusia candelabrum,1200,400,N/A,N/A,N/A,N/A,N/A,2
Clusia colombiana,2400,1900,N/A,N/A,N/A,0,N/A,3
Clusia crenata,1300,1800,600,0,N/A,N/A,N/A,4
Clusia cuneifolia,2100,1800,1300,N/A,N/A,N/A,N/A,3
Clusia decussata,2400,2300,1800,0,0,N/A,N/A,5
Clusia dixonii,2000,1500,2300,N/A,N/A,N/A,N/A,3
Clusia ducu,1200,2800,1500,700,800,1000,N/A,6
Clusia ducuoides,2000,2700,3000,1300,1000,0,N/A,6
Clusia elliptica,3300,1300,1400,1500,1500,1300,N/A,6
Clusia flavida,2100,1800,2000,1500,1200,1000,N/A,6
Clusia hammeliana,2100,1400,1200,500,1400,400,N/A,6
Clusia haughtii,1400,1700,1100,300,2400,1100,N/A,6
Clusia hydrogera,1800,2300,1200,N/A,N/A,N/A,N/A,3
Clusia inesiana,1800,2200,N/A,N/A,N/A,N/A,N/A,2
Clusia lineata,2400,2600,1900,700,0,N/A,N/A,5
Clusia minor,2100,2200,1900,2000,900,0,N/A,6
Clusia mocoensis,1800,1800,1200,N/A,N/A,N/A,N/A,3
Clusia multiflora,2600,2900,2400,800,2600,1600,N/A,6
Clusia octandra,500,1400,1500,700,0,N/A,N/A,5
Clusia palmicida,2200,1200,500,0,N/A,N/A,N/A,4
Clusia penduliflora,2200,1600,1500,0,0,1000,N/A,6
Clusia pentandra,1000,900,0,N/A,N/A,N/A,N/A,3
Clusia schomburgkiana,2600,2800,100,200,0,N/A,N/A,5
Clusia sphaerocarpa,0,3100,2500,1400,1500,2400,N/A,6
Clusia thurifera,1700,1000,1300,200,700,N/A,N/A,5
Clusia trochiformis,1600,600,1200,1200,2900,1600,N/A,6
Clusia volubilis,500,700,N/A,N/A,N/A,0,N/A,3
Coccoloba acuminata,700,500,0,100,400,0,N/A,6
Coccoloba ascendens,300,200,N/A,0,0,N/A,N/A,4
Coccoloba coronata,1300,100,300,200,0,0,0,7
Coccoloba densifrons,2300,600,1100,200,300,0,N/A,6
Coccoloba excelsa,700,1000,100,N/A,0,N/A,N/A,4
Coccoloba lehmannii,200,900,500,N/A,200,0,N/A,5
Coccoloba mollis,2000,1000,1700,1500,1500,1300,N/A,6
Coccoloba obovata,1200,1200,1000,N/A,N/A,0,N/A,4
Coccoloba padiformis,700,800,0,0,N/A,N/A,N/A,4
Cochlospermum orinocense,1900,500,200,100,400,N/A,N/A,5
Coffea arabica,2800,2300,2200,1300,1900,1700,N/A,6
Compsoneura anoriensis,500,N/A,N/A,N/A,N/A,N/A,N/A,1
Compsoneura claroensis,700,N/A,N/A,N/A,N/A,N/A,N/A,1
Compsoneura mutisii,800,2900,1300,N/A,N/A,N/A,N/A,3
Compsoneura rigidifolia,2100,1100,N/A,N/A,N/A,N/A,N/A,2
Conceveiba parvifolia,1300,N/A,N/A,N/A,N/A,N/A,N/A,1
Conceveiba pleiostemona,1700,600,N/A,N/A,N/A,N/A,N/A,2
Conceveiba terminalis,400,900,200,N/A,900,N/A,N/A,4
Condaminea corymbosa,2800,1800,2300,1900,2500,2900,N/A,6
Connarus panamensis,3100,N/A,N/A,N/A,N/A,N/A,N/A,1
Copaifera canime,200,N/A,N/A,N/A,N/A,N/A,N/A,1
Copaifera officinalis,100,N/A,N/A,N/A,N/A,N/A,N/A,1
Cordia alliodora,2000,3300,2100,2600,1800,1400,1300,7
Cordia bicolor,1600,1900,N/A,200,1500,1000,N/A,5
Cordia bogotensis,2400,1100,0,N/A,N/A,N/A,N/A,3
Cordia dwyeri,2000,700,500,N/A,N/A,N/A,N/A,3
Cordia nodosa,1300,1200,1200,1500,3400,1200,N/A,6
Cordia panamensis,1700,3000,700,N/A,0,N/A,N/A,4
Cordiera myrciifolia,900,200,N/A,N/A,500,0,N/A,4
Cornus peruviana,2100,1600,2100,1300,2900,700,N/A,6
Cornutia pyramidata,500,2400,1800,600,1000,0,N/A,6
Cosmibuena grandiflora,2300,1800,1000,1700,1700,1600,N/A,6
Couma macrocarpa,700,1200,500,400,1100,N/A,N/A,5
Couratari guianensis,800,1500,200,100,600,N/A,N/A,5
Couroupita guianensis,800,3100,500,200,300,N/A,N/A,5
Coussapoa contorta,900,3200,1000,N/A,0,N/A,N/A,4
Coussapoa crassivenosa,400,800,1600,N/A,0,0,N/A,5
Coussapoa herthae,1000,1000,900,0,N/A,N/A,N/A,4
Coussapoa villosa,1900,2300,1800,2000,1700,600,N/A,6
Coussarea antioquiana,500,N/A,N/A,N/A,N/A,N/A,N/A,1
Coussarea enneantha,1900,N/A,N/A,N/A,N/A,N/A,N/A,1
Coussarea grandifolia,1500,0,N/A,N/A,N/A,N/A,N/A,2
Coussarea hirticalyx,0,1300,1000,800,800,0,N/A,6
Coussarea klugii,0,800,1000,700,0,N/A,N/A,5
Coussarea latifolia,100,1700,0,N/A,N/A,N/A,N/A,3
Coussarea macrocalyx,1700,800,0,N/A,N/A,N/A,N/A,3
Coussarea paniculata,2300,1800,1300,1100,1400,700,N/A,6
Coutarea hexandra,3300,800,1400,600,1100,1300,1700,7
Crepidospermum rhoifolium,1000,600,500,0,200,N/A,N/A,5
Critoniopsis glandulata,1600,0,N/A,N/A,N/A,N/A,N/A,2
Croton argenteus,0,N/A,N/A,N/A,N/A,300,0,3
Croton gossypiifolius,2300,1900,0,N/A,N/A,N/A,N/A,3
Croton killipianus,2200,N/A,0,N/A,N/A,N/A,N/A,2
Croton lechleri,0,1800,2200,1700,2200,1500,200,7
Croton mutisianus,2500,2400,2100,N/A,N/A,N/A,N/A,3
Croton niveus,0,0,N/A,N/A,N/A,N/A,N/A,2
Croton sampatik,0,1800,800,600,1200,600,N/A,6
Croton schiedeanus,1100,1300,1500,1100,900,N/A,N/A,5
Croton smithianus,2200,1000,0,N/A,N/A,N/A,N/A,3
Cuatresia cuspidata,600,1600,1700,0,N/A,N/A,N/A,4
Cuatresia garciae,400,N/A,N/A,N/A,N/A,N/A,N/A,1
Cuatresia riparia,2100,2600,2400,0,0,N/A,N/A,5
Cupania americana,2400,2300,2700,0,2200,0,N/A,6
Cupania cinerea,2100,3400,2200,700,1500,1300,N/A,6
Cupania latifolia,2200,1600,2200,2500,1800,1200,N/A,6
Cupania livida,2200,1500,900,N/A,0,N/A,N/A,4
Cupania rubiginosa,200,0,N/A,N/A,0,N/A,N/A,3
Cupania scrobiculata,1900,1300,200,600,600,N/A,N/A,5
Curatella americana,1900,1200,N/A,200,1600,100,N/A,5
Cyathea andina,2900,1500,0,N/A,1300,400,N/A,5
Cyathea austropallescens,0,0,N/A,N/A,1500,600,N/A,4
Cyathea bipinnatifida,900,1900,2200,2500,2800,800,N/A,6
Cyathea brunnescens,1600,2100,800,N/A,0,N/A,N/A,4
Cyathea caracasana,1900,3000,2900,400,1400,0,N/A,6
Cyathea conjugata,1300,1800,1200,1000,2000,600,N/A,6
Cyathea delgadii,1900,2800,2100,1900,2800,1800,N/A,6
Cyathea divergens,2100,2200,0,N/A,1300,N/A,N/A,4
Cyathea frondosa,400,1500,200,N/A,0,N/A,N/A,4
Cyathea fulva,1800,2300,2400,N/A,0,N/A,N/A,4
Cyathea kalbreyeri,1300,0,400,0,1600,N/A,N/A,5
Cyathea lechleri,500,1600,1200,2200,2900,1100,N/A,6
Cyathea lindeniana,1100,1300,0,1600,1700,N/A,N/A,5
Cyathea meridensis,2500,1300,1100,800,800,N/A,N/A,5
Cyathea multiflora,1700,2000,1900,N/A,1100,600,N/A,5
Cyathea nigripes,600,1500,1500,N/A,N/A,N/A,N/A,3
Cyathea pallescens,1300,1700,2000,500,700,1900,N/A,6
Cyathea pauciflora,2500,300,400,0,0,N/A,N/A,5
Cyathea pilosissima,1200,2800,1600,1400,2200,N/A,N/A,5
Cyathea planadae,0,1000,1200,200,700,1200,N/A,6
Cyathea pungens,1500,1400,1500,1600,1400,1200,N/A,6
