species,a.10.5,b.5.0,c.0.-5,d.-5.-10,e.-10.-15,f.-15.-20,g.-20.-25
Abatia parviflora,1400,3300,2700,800,0,N/A,N/A
Acalypha cuneata,1100,1500,3100,1700,1100,400,N/A
Acalypha diversifolia,3100,2900,3700,1800,1700,1700,800
Acalypha macrostachya,3200,2600,1900,1500,2100,2400,N/A
Acalypha stricta,0,500,900,1700,1800,2200,300
Achatocarpus nigricans,1800,1300,N/A,N/A,N/A,1100,N/A
Aegiphila alba,1900,2100,2800,0,N/A,N/A,N/A
Aegiphila bogotensis,2800,2200,2700,N/A,N/A,N/A,N/A
Aegiphila cuatrecasasii,1800,500,1700,N/A,200,N/A,N/A
Aegiphila integrifolia,2200,2000,1500,3000,1800,2000,N/A
Aegiphila panamensis,1500,1900,1900,500,1800,N/A,N/A
Aequatorium jamesonii,300,600,1000,N/A,N/A,N/A,N/A
Ageratina tinifolia,2600,3600,100,N/A,N/A,N/A,N/A
Agouticarpa williamsii,2300,2100,1700,N/A,0,N/A,N/A
Aiouea dubia,2000,3200,1000,N/A,1600,N/A,N/A
Aiphanes horrida,2400,1300,0,100,1600,1000,N/A
Albizia carbonaria,2100,700,N/A,N/A,2000,N/A,N/A
Albizia niopoides,1400,600,900,1000,1300,500,0
Albizia subdimidiata,700,500,0,0,0,100,N/A
Alchornea acutifolia,1400,2100,2400,1600,600,N/A,N/A
Alchornea bogotensis,600,1700,400,N/A,N/A,N/A,N/A
Alchornea brittonii,400,100,0,N/A,1600,1600,N/A
Alchornea coelophylla,1700,1900,1400,N/A,0,0,N/A
Alchornea costaricensis,1700,1700,400,N/A,N/A,N/A,N/A
Alchornea floribunda,500,0,0,N/A,N/A,N/A,N/A
Alchornea glandulosa,2600,3600,2500,2200,3000,2200,N/A
Alchornea grandiflora,2500,2700,2100,1800,2200,600,N/A
Alchornea grandis,1900,1800,1800,300,1100,0,N/A
Alchornea latifolia,2100,2600,2200,800,1200,1700,N/A
Alchornea pearcei,400,700,800,1400,1800,1400,N/A
Alchornea triplinervia,2700,3800,2900,1900,2300,2100,N/A
Alchorneopsis floribunda,3700,800,1700,500,700,N/A,N/A
Alibertia bertierifolia,100,700,400,100,500,500,N/A
Allophylus amazonicus,100,600,600,N/A,1000,0,N/A
Allophylus edulis,100,0,N/A,0,1000,2100,1700
Allophylus excelsus,2200,2400,2600,N/A,100,0,N/A
Allophylus floribundus,300,2300,1900,2400,2100,1800,N/A
Allophylus loretensis,0,N/A,700,200,1300,N/A,N/A
Allophylus psilospermus,900,0,2900,N/A,N/A,600,N/A
Allophylus punctatus,900,1100,1900,2100,1800,1900,N/A
Alnus acuminata,2000,3200,2400,3400,2000,3400,1600
Alseis blackiana,600,300,N/A,N/A,300,N/A,N/A
Chrysophyllum venezuelanense,600,1400,1900,2300,1400,600,N/A
Ciliosemina pedunculata,2300,1200,500,1000,N/A,N/A,N/A
Cinchona macrocalyx,0,0,1200,600,900,0,N/A
Cinchona officinalis,1500,1100,1700,0,1500,1100,N/A
Cinchona pubescens,3000,2800,2600,2200,2600,2900,N/A
Cinchonopsis amazonica,0,600,500,500,2000,N/A,N/A
Cissus trianae,2600,1000,1500,1600,1500,1000,N/A
Citharexylum montanum,400,2000,1400,N/A,N/A,N/A,N/A
Citronella incarum,1000,2600,2700,2700,3000,400,N/A
Citrus X aurantium,2400,3000,2700,1100,100,0,500
Citrus limon,2100,2400,2500,1100,N/A,0,N/A
Clarisia biflora,2100,2000,1700,2000,2800,1300,N/A
Clarisia racemosa,1900,2300,1200,800,1300,1100,N/A
Clethra fagifolia,3100,2500,2000,N/A,0,0,N/A
Clethra fimbriata,1800,3300,2500,1300,0,600,N/A
Clethra ovalifolia,1600,1000,1800,1300,N/A,N/A,N/A
Clethra revoluta,3100,2600,2000,1500,2500,1200,N/A
Clethra scabra,0,0,0,0,2600,2800,2000
Clitoria arborea,200,500,1200,2000,600,200,N/A
Clusia alata,3000,1900,1800,200,900,N/A,N/A
Clusia colombiana,2400,1900,N/A,N/A,N/A,0,N/A
Clusia crenata,1300,1800,600,0,N/A,N/A,N/A
Clusia cuneifolia,2100,1800,1300,N/A,N/A,N/A,N/A
Clusia decussata,2400,2300,1800,0,0,N/A,N/A
Clusia dixonii,2000,1500,2300,N/A,N/A,N/A,N/A
Clusia ducu,1200,2800,1500,700,800,1000,N/A
Clusia ducuoides,2000,2700,3000,1300,1000,0,N/A
Clusia elliptica,3300,1300,1400,1500,1500,1300,N/A
Clusia flavida,2100,1800,2000,1500,1200,1000,N/A
Clusia hammeliana,2100,1400,1200,500,1400,400,N/A
Clusia haughtii,1400,1700,1100,300,2400,1100,N/A
Clusia hydrogera,1800,2300,1200,N/A,N/A,N/A,N/A
Clusia lineata,2400,2600,1900,700,0,N/A,N/A
Clusia minor,2100,2200,1900,2000,900,0,N/A
Clusia mocoensis,1800,1800,1200,N/A,N/A,N/A,N/A
Clusia multiflora,2600,2900,2400,800,2600,1600,N/A
Clusia octandra,500,1400,1500,700,0,N/A,N/A
Clusia palmicida,2200,1200,500,0,N/A,N/A,N/A
Clusia penduliflora,2200,1600,1500,0,0,1000,N/A
Clusia pentandra,1000,900,0,N/A,N/A,N/A,N/A
Clusia schomburgkiana,2600,2800,100,200,0,N/A,N/A
Clusia sphaerocarpa,0,3100,2500,1400,1500,2400,N/A
Clusia thurifera,1700,1000,1300,200,700,N/A,N/A
Clusia trochiformis,1600,600,1200,1200,2900,1600,N/A
Clusia volubilis,500,700,N/A,N/A,N/A,0,N/A
