species,min_elevation,max_elevation,range
Abatia parviflora,800,2600,1800
Acalypha cuneata,400,1700,1300
Acalypha diversifolia,800,3700,2900
Acalypha macrostachya,1300,2400,1100
Achatocarpus nigricans,600,1100,500
Adenocalymma aspericarpum,1300,1300,0
Aegiphila alba,0,2500,2500
Aegiphila bogotensis,700,2600,1900
Aegiphila cuatrecasasii,0,1000,1000
Aegiphila integrifolia,1500,3000,1500
Aegiphila laeta,0,1300,1300
Aegiphila panamensis,300,1900,1600
Aequatorium jamesonii,0,1000,1000
Ageratina boyacensis,0,100,100
Ageratina glyptophlebia,1200,1500,300
Ageratina popayanensis,2500,2600,100
Ageratina tinifolia,0,2600,2600
Agouticarpa williamsii,0,2000,2000
Aiouea dubia,0,2000,2000
Aiphanes hirsuta,1000,1000,0
Aiphanes horrida,0,1600,1600
Aiphanes linearis,0,700,700
Aiphanes parvifolia,800,800,0
Albizia carbonaria,400,2000,1600
Albizia subdimidiata,0,500,500
Alchornea acutifolia,0,1600,1600
Alchornea bogotensis,100,900,800
Alchornea brittonii,0,1600,1600
Alchornea coelophylla,0,1600,1600
Alchornea costaricensis,400,1400,1000
Alchornea floribunda,0,400,400
Alchornea glandulosa,2200,3000,800
Alchornea grandiflora,600,2200,1600
Alchornea grandis,0,1400,1400
Alchornea latifolia,800,2300,1500
Alchornea megalophylla,0,900,900
Alchornea triplinervia,1900,3800,1900
Alchornea verticillata,1600,1600,0
Alchorneopsis floribunda,400,3700,3300
Alfaroa colombiana,400,1300,900
Alfaroa williamsii,1000,1000,0
Allomaieta hirsuta,500,500,0
Allomaieta pancurana,900,900,0
Allomaieta villosa,600,600,0
Allophylus edulis,0,1900,1900
Allophylus excelsus,0,2300,2300
Allophylus floribundus,0,2400,2400
Allophylus psilospermus,500,900,400
Allophylus punctatus,0,2100,2100
Alnus acuminata,1600,3400,1800
Alseis blackiana,0,400,400
Ciliosemina pedunculata,500,1200,700
Ciliosemina purdieana,300,300,0
Cinchona antioquiae,300,300,0
Cinchona macrocalyx,0,1100,1100
Cinchona officinalis,0,1600,1600
Cinchona pubescens,1800,2700,900
Cissus trianae,600,1600,1000
Citronella incarum,400,2900,2500
Citrus X aurantium,0,2000,2000
Citrus limon,0,1500,1500
Clarisia biflora,1000,2800,1800
Clarisia racemosa,800,1200,400
Clathrotropis brunnea,800,800,0
Clavija mezii,0,100,100
Clethra fagifolia,0,2700,2700
Clethra fimbriata,0,2500,2500
Clethra ovalifolia,400,1800,1400
Clethra revoluta,1200,2900,1700
Clitoria arborea,0,2000,2000
Clusia alata,200,3000,2800
Clusia articulata,2800,2800,0
Clusia candelabrum,0,100,100
Clusia crenata,0,1000,1000
Clusia cuneifolia,0,1900,1900
Clusia decussata,0,2200,2200
Clusia dixonii,900,1400,500
Clusia ducu,600,1900,1300
Clusia ducuoides,0,2300,2300
Clusia elliptica,400,2300,1900
Clusia flavida,300,2000,1700
Clusia hammeliana,400,1400,1000
Clusia haughtii,300,1500,1200
Clusia hydrogera,800,1200,400
Clusia inesiana,0,1600,1600
Clusia lineata,0,2100,2100
Clusia minor,0,2000,2000
Clusia mocoensis,1200,1800,600
Clusia multiflora,800,2800,2000
Clusia octandra,0,1500,1500
Clusia palmicida,0,1300,1300
Clusia penduliflora,0,1500,1500
Clusia pentandra,400,1000,600
Clusia schomburgkiana,0,2600,2600
Clusia sphaerocarpa,0,2400,2400
Clusia thurifera,0,1500,1500
Clusia trochiformis,400,2900,2500
Clusia volubilis,0,0,0
Coccoloba acuminata,0,500,500
Coccoloba ascendens,0,200,200
Coccoloba coronata,0,1200,1200
Coccoloba densifrons,100,900,800
Coccoloba excelsa,0,800,800
Coccoloba lehmannii,0,500,500
Coccoloba mollis,400,1500,1100
Coccoloba obovata,0,1200,1200
Coccoloba padiformis,0,100,100
Cochlospermum orinocense,100,900,800
Coffea arabica,1300,2000,700
Compsoneura anoriensis,100,100,0
Compsoneura claroensis,300,300,0
Compsoneura mutisii,800,800,0
Compsoneura rigidifolia,0,600,600
Conceveiba parvifolia,200,200,0
Conceveiba pleiostemona,200,1400,1200
Conceveiba terminalis,0,800,800
Condaminea corymbosa,1400,2400,1000
Connarus panamensis,0,0,0
Copaifera canime,0,0,0
Copaifera officinalis,0,0,0
Cordia alliodora,1300,3300,2000
Cordia bicolor,200,1500,1300
Cordia bogotensis,0,1900,1900
Cordia dwyeri,0,700,700
Cordia nodosa,1200,3400,2200
Cordia panamensis,0,1600,1600
Cordiera myrciifolia,100,900,800
Cornus peruviana,700,2100,1400
Cornutia pyramidata,0,1800,1800
Cosmibuena grandiflora,900,1700,800
Couma macrocarpa,400,700,300
Couratari guianensis,100,800,700
Couroupita guianensis,100,400,300
Coussapoa contorta,900,1000,100
Coussapoa crassivenosa,0,1300,1300
Coussapoa herthae,0,1000,1000
Coussapoa villosa,100,2000,1900
Coussarea antioquiana,400,400,0
Coussarea enneantha,1000,1000,0
Coussarea grandifolia,0,1400,1400
Coussarea hirticalyx,0,800,800
Coussarea klugii,0,1000,1000
Coussarea latifolia,0,1600,1600
Coussarea macrocalyx,0,1100,1100
Coussarea paniculata,700,1900,1200
Coutarea hexandra,600,1700,1100
Crepidospermum rhoifolium,0,1000,1000
Critoniopsis glandulata,0,800,800
Croton argenteus,0,300,300
Croton gossypiifolius,0,1100,1100
Croton killipianus,0,1700,1700
Croton lechleri,0,2200,2200
Croton mutisianus,1300,1900,600
Croton schiedeanus,400,1100,700
Croton smithianus,700,1000,300
Cuatresia cuspidata,0,700,700
Cuatresia garciae,0,0,0
Cuatresia riparia,0,2100,2100
Cupania americana,0,2200,2200
Cupania cinerea,700,3400,2700
Cupania latifolia,1200,2500,1300
Cupania scrobiculata,600,1600,1000
Curatella americana,100,1600,1500
Cyathea andina,400,1300,900
Cyathea bipinnatifida,500,2800,2300
Cyathea caracasana,0,2100,2100
Cyathea conjugata,600,2000,1400
Cyathea delgadii,1300,2600,1300
Cyathea divergens,0,1300,1300
Cyathea fulva,0,1600,1600
Cyathea kalbreyeri,0,1200,1200
Cyathea lechleri,0,2900,2900
Cyathea lindeniana,900,1700,800
Cyathea meridensis,800,1800,1000
Cyathea multiflora,500,1500,1000
Cyathea nigripes,100,900,800
Cyathea pallescens,0,1900,1900
Cyathea pauciflora,0,1100,1100
Cyathea pilosissima,400,2200,1800
Cyathea pungens,1200,1600,400
Cyathea squamipes,600,2700,2100
Cybianthus humilis,0,600,600
Cybianthus iteoides,1700,2500,800
Cybianthus laurifolius,0,2200,2200
Cybianthus marginatus,800,2200,1400
Cybianthus pastensis,600,2400,1800
Cybianthus poeppigii,0,1600,1600
Cybianthus schlimii,0,1300,1300
Cybianthus venezuelanus,1200,2000,800
Cymbopetalum sanchezii,0,0,0
Cynometra bauhiniifolia,0,100,100
Cynophalla flexuosa,200,1300,1100
Dacryodes acuptipyrena,0,0,0
Dacryodes belemensis,0,300,300
Dacryodes peruviana,0,1200,1200
Delostoma integrifolium,600,2200,1600
Dendrobangia boliviana,1100,1500,400
Dendropanax arboreus,1500,2400,900
Dendropanax caucanus,0,1600,1600
Dendropanax macrophyllus,0,800,800
Dialium guianense,300,900,600
Dicksonia karsteniana,0,1300,1300
Dicksonia sellowiana,1200,2700,1500
Dictyocaryum lamarckianum,0,1200,1200
Dieffenbachia seguine,0,1100,1100
Dilodendron costaricense,200,200,0
Dimorphandra macrostachya,0,400,400
Dioicodendron dioicum,0,2300,2300
Diospyros artanthifolia,500,1000,500
Discophora guianensis,900,1300,400
Doliocarpus dentatus,700,1500,800
Drimys granadensis,900,2000,1100
Duguetia antioquensis,1100,1100,0
Duguetia caniflora,0,0,0
Duguetia colombiana,100,100,0
Duguetia gentryi,100,100,0
Dunalia solanacea,1700,2200,500
Duroia hirsuta,400,1300,900
Dussia lehmannii,500,1700,1200
Dussia macroprophyllata,2200,2200,0
Dussia tessmannii,100,2000,1900
Dystovomita paniculata,0,1200,1200
Ecclinusa lanceolata,0,900,900
Ecclinusa ramiflora,0,300,300
Elaeagia karstenii,0,2100,2100
Elaeagia mariae,700,2300,1600
Elaeagia myriantha,100,1200,1100
Elaeagia pastoensis,800,1700,900
Elaeagia utilis,1400,1900,500
Endlicheria gracilis,0,1000,1000
Endlicheria griseo-sericea,100,1900,1800
Endlicheria griseosericea,100,1900,1800
Endlicheria metallica,0,2000,2000
Endlicheria pyriformis,0,1300,1300
Endlicheria sericea,0,2000,2000
Entada gigas,0,1100,1100
Enterolobium cyclocarpum,0,800,800
Enterolobium schomburgkii,300,700,400
Eriotheca globosa,0,900,900
