species,region,range
Abatia parviflora,a.10.5,1400
Abatia parviflora,b.5.0,1600
Abatia parviflora,c.0.-5,2600
Abatia parviflora,d.-5.-10,800
Abatia parviflora,e.-10.-15,N/A
Abatia parviflora,f.-15.-20,N/A
Abatia parviflora,g.-20.-25,N/A
Acalypha cuneata,a.10.5,1100
Acalypha cuneata,b.5.0,1300
Acalypha cuneata,c.0.-5,1500
Acalypha cuneata,d.-5.-10,1700
Acalypha cuneata,e.-10.-15,1100
Acalypha cuneata,f.-15.-20,400
Acalypha cuneata,g.-20.-25,N/A
Acalypha diversifolia,a.10.5,2100
Acalypha diversifolia,b.5.0,2700
Acalypha diversifolia,c.0.-5,3700
Acalypha diversifolia,d.-5.-10,1800
Acalypha diversifolia,e.-10.-15,1700
Acalypha diversifolia,f.-15.-20,1700
Acalypha diversifolia,g.-20.-25,800
Acalypha macrostachya,a.10.5,2300
Acalypha macrostachya,b.5.0,2400
Acalypha macrostachya,c.0.-5,1300
Acalypha macrostachya,d.-5.-10,1500
Acalypha macrostachya,e.-10.-15,2100
Acalypha macrostachya,f.-15.-20,2400
Acalypha macrostachya,g.-20.-25,N/A
Achatocarpus nigricans,a.10.5,600
Achatocarpus nigricans,b.5.0,800
Achatocarpus nigricans,c.0.-5,N/A
Achatocarpus nigricans,d.-5.-10,N/A
Achatocarpus nigricans,e.-10.-15,N/A
Achatocarpus nigricans,f.-15.-20,1100
Achatocarpus nigricans,g.-20.-25,N/A
Aegiphila alba,a.10.5,1600
Aegiphila alba,b.5.0,2100
Aegiphila alba,c.0.-5,2500
Aegiphila alba,d.-5.-10,0
Aegiphila alba,e.-10.-15,N/A
Aegiphila alba,f.-15.-20,N/A
Aegiphila alba,g.-20.-25,N/A
Aegiphila bogotensis,a.10.5,700
Aegiphila bogotensis,b.5.0,1100
Aegiphila bogotensis,c.0.-5,2600
Aegiphila bogotensis,d.-5.-10,N/A
Aegiphila bogotensis,e.-10.-15,N/A
Aegiphila bogotensis,f.-15.-20,N/A
Aegiphila bogotensis,g.-20.-25,N/A
Aegiphila cuatrecasasii,a.10.5,0
Aegiphila cuatrecasasii,b.5.0,400
Aegiphila cuatrecasasii,c.0.-5,1000
Aegiphila cuatrecasasii,d.-5.-10,N/A
Aegiphila cuatrecasasii,e.-10.-15,0
Aegiphila cuatrecasasii,f.-15.-20,N/A
