species,0-99,100-199,200-299,300-399,400-499,500-599,600-699,700-799,800-899,900-999,1000-1099,1100-1199,1200-1299,1300-1399,1400-1499,1500-1599,1600-1699,1700-1799,1800-1899,1900-1999,2000-2099,2100-2199,2200-2299,2300-2399,2400-2499,2500-2599,2600-2699,2700-2799,2800-2899,2900-2999,3000-3099,3100-3199,3200-3299,3300-3399,3400-3499,3500-3599,3600-3699,3700-3799,3800-3899,3900-3999,4000-4099
Abatia parviflora,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007977662544874351,0.0,0.00010500892575868948,0.0006683002895967921,0.0002726281352235551,0.0009475679090334807,0.0029515938606847697,0.00272975432211101,0.0016542597187758478,0.001638001638001638,0.005141388174807198,0.001702127659574468,0.004266211604095563,0.002173913043478261,0.002430133657351154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha cuneata,0,0.0003471017007983339,0.00015928639694170118,0.0012511729746637473,0.0002881014116969173,0.0,0.0,0.0,0.00020580366330520683,0.00022901637467078896,0.0005623242736644799,0.0,0.00030959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha diversifolia,0,0.006768483165567512,0.00669002867155145,0.008289020957147326,0.0018726591760299626,0.002267084098024398,0.001367730981464887,0.00437883147754285,0.002675447622967689,0.005038360242757357,0.004311152764761012,0.0040297582145071295,0.004024767801857585,0.0026455026455026454,0.0023990403838464614,0.0031783869686134287,0.001609442060085837,0.001176470588235294,0.0032428050263477908,0.0023932987634623054,0.0,0.00010500892575868948,0.0006683002895967921,0.0005452562704471102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha macrostachya,0,0.0022561610551891705,0.00414144632048423,0.004535502033156084,0.0010083549409392106,0.0018892367483536651,0.0009904258831297458,0.0038783935943950956,0.004013171434451533,0.0022901637467078895,0.004686035613870665,0.006819590824550527,0.004953560371517028,0.008994708994708995,0.0059976009596161535,0.005164878823996822,0.015021459227467811,0.005490196078431373,0.008512363194162952,0.009174311926605505,0.0016236694930543028,0.000630053554552137,0.0013366005791935842,0.0005452562704471102,0.0009475679090334807,0.0,0.0,0.0008271298593879239,0.002457002457002457,0.0,0.0,0.0,0.0010869565217391304,0.001215066828675577,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha stricta,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003972983710766786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Achatocarpus nigricans,0,0.0005206525511975009,0.000955718381650207,0.0015639662183296842,0.000216076058772688,0.03708301846054194,0.02216667452718955,0.0015013136494432628,0.0005145091582630171,0.00011450818733539448,0.0,0.00030998140111593303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039888312724371757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adenocalymma aspericarpum,0,0.0029503644567858383,0.0011150047785919083,0.0017203628401626526,0.0,0.0,4.716313729189266e-05,0.00012510947078693858,0.00010290183165260341,0.0,0.0,0.0,0.0,0.0,0.00039984006397441024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aegiphila alba,0,0.0,0.00015928639694170118,0.0,0.0,0.00010795638562020944,0.0,0.0,0.0,0.00011450818733539448,0.0,0.0,0.0,0.0,0.0,0.0,0.000536480686695279,0.0,0.0,0.0,0.00036081544290095615,0.0003150267772760685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aegiphila bogotensis,0,0.0,0.0,0.00015639662183296842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000536480686695279,0.000392156862745098,0.0,0.0,0.00018040772145047808,0.00010500892575868948,0.0,0.0005452562704471102,0.0006317119393556538,0.0,0.00030330603579011223,0.0008271298593879239,0.000819000819000819,0.003427592116538132,0.000851063829787234,0.006825938566552901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aegiphila cuatrecasasii,0,0.0,0.0,0.0,0.0,5.397819281010472e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016214025131738954,0.0,0.0,0.0,0.0,0.0002726281352235551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
