species,0-99,100-199,200-299,300-399,400-499,500-599,600-699,700-799,800-899,900-999,1000-1099,1100-1199,1200-1299,1300-1399,1400-1499,1500-1599,1600-1699,1700-1799,1800-1899,1900-1999,2000-2099,2100-2199,2200-2299,2300-2399,2400-2499,2500-2599,2600-2699,2700-2799,2800-2899,2900-2999,3000-3099,3100-3199,3200-3299,3300-3399,3400-3499,3500-3599,3600-3699,3700-3799,3800-3899,3900-3999,4000-4099
Abatia parviflora,0,0.0,0.0,0.0002710761724044456,0.0,0.0,0.0,0.0,0.0,0.0,0.0007485029940119761,0.0,0.0,0.0,0.0,0.0008756567425569177,0.0009182736455463728,0.0007974481658692185,0.0,0.0005747126436781609,0.0014154281670205238,0.003003003003003003,0.003215434083601286,0.003367003367003367,0.0,0.008704061895551257,0.005537098560354375,0.008869179600886918,0.013658536585365854,0.012304250559284116,0.002835538752362949,0.003289473684210526,0.0011248593925759281,0.0011534025374855825,0.0,0.0,0.005714285714285714,0.0,0.0,0.0,0.0
Acalypha cuneata,0,0.0006064281382656155,0.001971738416036806,0.0027107617240444567,0.00776483638380477,0.0034705007436787306,0.005555555555555556,0.0015936254980079682,0.0018726591760299626,0.0,0.0,0.001710863986313088,0.0,0.0,0.0,0.0017513134851138354,0.0009182736455463728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha diversifolia,0,0.004851425106124924,0.008379888268156424,0.007590132827324478,0.011647254575707155,0.011403073872087258,0.016666666666666666,0.008764940239043825,0.011235955056179775,0.00702576112412178,0.008233532934131737,0.009409751924721984,0.010760401721664276,0.018573551263001486,0.014925373134328358,0.009632224168126095,0.01652892561983471,0.012759170653907496,0.011828486939379004,0.005172413793103448,0.006369426751592357,0.003003003003003003,0.0010718113612004287,0.0,0.0,0.0,0.0,0.0,0.001951219512195122,0.0,0.000945179584120983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha macrostachya,0,0.0,0.000985869208018403,0.002168609379235565,0.00776483638380477,0.008924144769459593,0.006944444444444444,0.011155378486055778,0.0028089887640449437,0.00936768149882904,0.020958083832335328,0.020530367835757058,0.015781922525107604,0.01263001485884101,0.015991471215351813,0.03327495621716287,0.02662993572084481,0.03269537480063796,0.01429275505174963,0.016666666666666666,0.014861995753715499,0.015015015015015015,0.007502679528403001,0.004489337822671156,0.0,0.0,0.0033222591362126247,0.0,0.000975609756097561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha stenoloba,0,0.0,0.0,0.0,0.0005546311702717693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha stricta,0,0.0,0.0,0.0,0.0,0.0004957858205255329,0.0,0.0,0.0,0.0,0.0007485029940119761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Achatocarpus nigricans,0,0.0,0.00016431153466973383,0.001626457034426674,0.003882418191902385,0.0004957858205255329,0.0,0.0,0.0028089887640449437,0.00624512099921936,0.008233532934131737,0.003421727972626176,0.0,0.0007429420505200594,0.0,0.0008756567425569177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Achatocarpus praecox,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000855431993156544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adenocalymma aspericarpum,0,0.0,0.00016431153466973383,0.0002710761724044456,0.0,0.0004957858205255329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aegiphila aculeifera,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001001001001001001,0.0,0.0,0.0016233766233766235,0.0,0.0,0.0,0.0,0.0,0.000945179584120983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
