species,0-99,100-199,200-299,300-399,400-499,500-599,600-699,700-799,800-899,900-999,1000-1099,1100-1199,1200-1299,1300-1399,1400-1499,1500-1599,1600-1699,1700-1799,1800-1899,1900-1999,2000-2099,2100-2199,2200-2299,2300-2399,2400-2499,2500-2599,2600-2699,2700-2799,2800-2899,2900-2999,3000-3099,3100-3199,3200-3299,3300-3399,3400-3499,3500-3599,3600-3699,3700-3799,3800-3899,3900-3999,4000-4099
Abatia parviflora,0,0.0,0.0,0.0,0.0,0.0006906077348066298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013908205841446453,0.0,0.0,0.0,0.0,0.0,0.0012484394506866417,0.0009250693802035153,0.0,0.0011547344110854503,0.005820721769499418,0.007446808510638298,0.0049504950495049506,0.005780346820809248,0.0025210084033613447,0.0023923444976076554,0.006030150753768844,0.003663003663003663,0.0015360983102918587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha cuneata,0,0.005340143951706525,0.005429513282916424,0.006083490664988462,0.006839945280437756,0.004834254143646409,0.009369676320272573,0.0014970059880239522,0.006560449859418931,0.0031269543464665416,0.00787878787878788,0.007173601147776184,0.0077459333849728895,0.007763975155279503,0.0,0.0027100271002710027,0.0011025358324145535,0.0,0.0,0.0,0.0006242197253433209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015360983102918587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha diversifolia,0,0.00162526120269329,0.004847779716889665,0.005663939584644431,0.005471956224350205,0.006906077348066298,0.010221465076660987,0.008982035928143712,0.010309278350515464,0.0050031269543464665,0.0048484848484848485,0.007890961262553802,0.008520526723470178,0.009316770186335404,0.0027816411682892906,0.008130081300813009,0.002205071664829107,0.01072961373390558,0.003386004514672686,0.0,0.0,0.0018501387604070306,0.0,0.0011547344110854503,0.0,0.0010638297872340426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021052631578947368,0.0,0.0
Acalypha macrostachya,0,0.00023218017181332715,0.00045245944024303533,0.0004195510803440319,0.001094391244870041,0.003453038674033149,0.004258943781942078,0.004491017964071856,0.0037488284910965324,0.006253908692933083,0.006666666666666667,0.009325681492109038,0.0077459333849728895,0.003105590062111801,0.0013908205841446453,0.0027100271002710027,0.0,0.015021459227467811,0.001128668171557562,0.0,0.0006242197253433209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha stenoloba,0,0.0004643603436266543,0.00032318531445931094,0.00020977554017201594,0.0005471956224350205,0.0,0.0,0.0,0.0,0.0006253908692933083,0.0006060606060606061,0.0,0.0,0.0,0.0,0.0,0.0011025358324145535,0.0,0.0,0.0,0.0,0.0,0.001314060446780552,0.0,0.0,0.0010638297872340426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha stricta,0,0.0018574413745066172,0.00032318531445931094,0.0006293266205160479,0.0005471956224350205,0.0,0.0,0.0,0.0,0.0,0.0006060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Achatocarpus pubescens,0,0.0,6.46370628918622e-05,0.0,0.00027359781121751026,0.0,0.0034071550255536627,0.0,0.0018744142455482662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Actinostemon concolor,0,0.0,0.0,0.00020977554017201594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aegiphila aculeifera,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023094688221709007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aegiphila alba,0,0.0004643603436266543,0.0001292741257837244,0.00020977554017201594,0.001094391244870041,0.0027624309392265192,0.002555366269165247,0.005988023952095809,0.0,0.0012507817385866166,0.0024242424242424242,0.0007173601147776184,0.0023237800154918666,0.003105590062111801,0.0013908205841446453,0.0027100271002710027,0.0011025358324145535,0.003218884120171674,0.0,0.0,0.0006242197253433209,0.0,0.001314060446780552,0.0,0.0,0.0,0.0,0.0,0.0,0.005582137161084529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aegiphila bogotensis,0,0.0,0.0,0.0,0.0,0.0006906077348066298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001072961373390558,0.0,0.0,0.0,0.0,0.0,0.0011547344110854503,0.002328288707799767,0.0031914893617021275,0.0,0.0,0.0,0.0007974481658692185,0.0010050251256281408,0.002442002442002442,0.0015360983102918587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aegiphila cuatrecasasii,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006253908692933083,0.0,0.0,0.0,0.0015527950310559005,0.0,0.0,0.0011025358324145535,0.001072961373390558,0.001128668171557562,0.0,0.0,0.0009250693802035153,0.001314060446780552,0.0023094688221709007,0.0,0.0,0.0009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aegiphila integrifolia,0,0.0009287206872533086,0.0009695559433779329,0.00020977554017201594,0.0027359781121751026,0.0006906077348066298,0.0,0.0014970059880239522,0.0009372071227741331,0.0,0.0006060606060606061,0.0007173601147776184,0.0,0.0,0.004172461752433936,0.0009033423667570009,0.002205071664829107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aegiphila lopez-palacii,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001072961373390558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aegiphila monticola,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005550416281221091,0.0,0.003464203233256351,0.002328288707799767,0.00425531914893617,0.0019801980198019802,0.002890173410404624,0.0,0.0007974481658692185,0.0020100502512562816,0.001221001221001221,0.0015360983102918587,0.002008032128514056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aegiphila panamensis,0,0.0,0.0005817335660267597,0.0012586532410320957,0.0005471956224350205,0.0,0.0008517887563884157,0.0,0.0,0.0,0.0006060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006242197253433209,0.0009250693802035153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
