species,0-99,100-199,200-299,300-399,400-499,500-599,600-699,700-799,800-899,900-999,1000-1099,1100-1199,1200-1299,1300-1399,1400-1499,1500-1599,1600-1699,1700-1799,1800-1899,1900-1999,2000-2099,2100-2199,2200-2299,2300-2399,2400-2499,2500-2599,2600-2699,2700-2799,2800-2899,2900-2999,3000-3099,3100-3199,3200-3299,3300-3399,3400-3499,3500-3599,3600-3699,3700-3799,3800-3899,3900-3999,4000-4099
Abatia parviflora,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008403361344537816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha cuneata,0,0.0,0.0005341880341880342,0.0005847953216374269,0.001474491300501327,0.0023790642347343376,0.0029940119760479044,0.004796163069544364,0.0007961783439490446,0.003838771593090211,0.0,0.002824858757062147,0.0032232070910556,0.0015772870662460567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha diversifolia,0,0.0,0.0025373931623931625,0.004678362573099415,0.0020642878207018578,0.0023790642347343376,0.00499001996007984,0.002398081534772182,0.0023885350318471337,0.0025591810620601407,0.004392386530014641,0.0018832391713747645,0.0024174053182917004,0.0,0.0,0.0,0.0,0.0,0.0,0.0010604453870625664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha macrostachya,0,0.0,0.0008012820512820513,0.0017543859649122807,0.0002948982601002654,0.0007930214115781126,0.0,0.002398081534772182,0.0015923566878980893,0.0006397952655150352,0.0007320644216691069,0.0018832391713747645,0.0056406124093473006,0.00473186119873817,0.0007710100231303007,0.0008305647840531562,0.0016750418760469012,0.003973509933774834,0.0018018018018018018,0.003181336161187699,0.0,0.0,0.0008403361344537816,0.0030721966205837174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha stenoloba,0,0.0,0.0008012820512820513,0.0011695906432748538,0.0008846947803007962,0.0007930214115781126,0.0,0.003996802557953637,0.0007961783439490446,0.0025591810620601407,0.0036603221083455345,0.003766478342749529,0.004834810636583401,0.006309148264984227,0.002313030069390902,0.0016611295681063123,0.008375209380234505,0.0026490066225165563,0.002702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha stricta,0,0.0027578599007170436,0.0033386752136752135,0.005555555555555556,0.0041285756414037155,0.0007930214115781126,0.006986027944111776,0.009592326139088728,0.0007961783439490446,0.0012795905310300703,0.0014641288433382138,0.0009416195856873823,0.0032232070910556,0.0015772870662460567,0.0007710100231303007,0.0008305647840531562,0.0033500837520938024,0.0026490066225165563,0.002702702702702703,0.0021208907741251328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Achatocarpus praecox,0,0.0,0.0,0.0,0.0,0.0,0.003992015968063872,0.0031974420463629096,0.003980891719745223,0.007677543186180422,0.004392386530014641,0.0,0.0008058017727639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Actinostemon concolor,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007993605115907274,0.0007961783439490446,0.0,0.0,0.0,0.0008058017727639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aegiphila cuatrecasasii,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013986013986013986,0.0,0.0008403361344537816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aegiphila integrifolia,0,0.0027578599007170436,0.0006677350427350427,0.0023391812865497076,0.0011795930404010617,0.0031720856463124504,0.0,0.0,0.0007961783439490446,0.0019193857965451055,0.0,0.0,0.0,0.00473186119873817,0.0,0.0,0.0016750418760469012,0.0,0.0009009009009009009,0.0010604453870625664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
