species,0-99,100-199,200-299,300-399,400-499,500-599,600-699,700-799,800-899,900-999,1000-1099,1100-1199,1200-1299,1300-1399,1400-1499,1500-1599,1600-1699,1700-1799,1800-1899,1900-1999,2000-2099,2100-2199,2200-2299,2300-2399,2400-2499,2500-2599,2600-2699,2700-2799,2800-2899,2900-2999,3000-3099,3100-3199,3200-3299,3300-3399,3400-3499,3500-3599,3600-3699,3700-3799,3800-3899,3900-3999,4000-4099
Acalypha cuneata,0,0.0,0.0,0.0,0.0,0.0017452006980802793,0.009345794392523364,0.0028011204481792717,0.004106776180698152,0.004784688995215311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha diversifolia,0,0.005154639175257732,0.0034393809114359416,0.0030935808197989174,0.004736129905277402,0.005235602094240838,0.009345794392523364,0.0,0.006160164271047228,0.0,0.0,0.0,0.0,0.0013869625520110957,0.0029850746268656717,0.0,0.0031645569620253164,0.0,0.0031545741324921135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha macrostachya,0,0.005154639175257732,0.006878761822871883,0.0007733952049497294,0.0033829499323410014,0.006980802792321117,0.006230529595015576,0.011204481792717087,0.006160164271047228,0.0,0.009070294784580499,0.0,0.0,0.008321775312066574,0.008955223880597015,0.0,0.0031645569620253164,0.0,0.006309148264984227,0.0,0.0,0.0,0.0,0.0,0.006369426751592357,0.0029498525073746312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha stenoloba,0,0.0,0.01117798796216681,0.005413766434648105,0.0013531799729364006,0.017452006980802792,0.009345794392523364,0.01680672268907563,0.006160164271047228,0.004784688995215311,0.0045351473922902496,0.003787878787878788,0.008631319358816275,0.016643550624133148,0.007462686567164179,0.013605442176870748,0.012658227848101266,0.016901408450704224,0.028391167192429023,0.012012012012012012,0.017716535433070866,0.01715686274509804,0.0020491803278688526,0.005988023952095809,0.009554140127388535,0.0058997050147492625,0.00558659217877095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha stricta,0,0.0,0.010318142734307825,0.0069605568445475635,0.008119079837618403,0.008726003490401396,0.006230529595015576,0.022408963585434174,0.012320328542094456,0.007177033492822967,0.02040816326530612,0.007575757575757576,0.007398273736128237,0.005547850208044383,0.005970149253731343,0.0,0.0031645569620253164,0.011267605633802818,0.00946372239747634,0.0,0.003937007874015748,0.0024509803921568627,0.0,0.0,0.009554140127388535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Achatocarpus nigricans,0,0.0,0.0,0.002320185614849188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004477611940298508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Achatocarpus praecox,0,0.0,0.0,0.0038669760247486465,0.0020297699594046007,0.006980802792321117,0.0,0.0,0.0,0.0023923444976076554,0.0045351473922902496,0.0,0.002466091245376079,0.0013869625520110957,0.005970149253731343,0.006802721088435374,0.006329113924050633,0.011267605633802818,0.006309148264984227,0.0,0.0,0.0024509803921568627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aegiphila integrifolia,0,0.0,0.0017196904557179708,0.0030935808197989174,0.0033829499323410014,0.0034904013961605585,0.0,0.0,0.0,0.0,0.0022675736961451248,0.0,0.002466091245376079,0.0013869625520110957,0.0014925373134328358,0.0013605442176870747,0.0031645569620253164,0.0,0.0,0.0,0.003937007874015748,0.0,0.0020491803278688526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aegiphila saltensis,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028169014084507044,0.0,0.0,0.0,0.0,0.0,0.0,0.0031847133757961785,0.0058997050147492625,0.002793296089385475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agonandra excelsa,0,0.0,0.0008598452278589854,0.0030935808197989174,0.0006765899864682003,0.0,0.003115264797507788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028169014084507044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
