species,0-99,100-199,200-299,300-399,400-499,500-599,600-699,700-799,800-899,900-999,1000-1099,1100-1199,1200-1299,1300-1399,1400-1499,1500-1599,1600-1699,1700-1799,1800-1899,1900-1999,2000-2099,2100-2199,2200-2299,2300-2399,2400-2499,2500-2599,2600-2699,2700-2799,2800-2899,2900-2999,3000-3099,3100-3199,3200-3299,3300-3399
Acalypha diversifolia,0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Acalypha stricta,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010752688172043012,0.0,0.009708737864077669,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Achatocarpus praecox,0,0.0,0.0,0.0,0.07272727272727272,0.0,0.01639344262295082,0.038461538461538464,0.03896103896103896,0.010752688172043012,0.023255813953488372,0.0,0.0,0.009708737864077669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Aegiphila saltensis,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010752688172043012,0.011627906976744186,0.0,0.01639344262295082,0.0,0.0,0.04,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Agonandra excelsa,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009708737864077669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Albizia niopoides,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009708737864077669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Allophylus edulis,0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.012987012987012988,0.010752688172043012,0.011627906976744186,0.03225806451612903,0.06557377049180328,0.019417475728155338,0.05263157894736842,0.0,0.09433962264150944,0.0425531914893617,0.08,0.07692307692307693,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Alnus acuminata,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010752688172043012,0.0,0.010752688172043012,0.0,0.0,0.010526315789473684,0.0,0.0,0.02127659574468085,0.06,0.02564102564102564,0.0625,0.0625,0.42857142857142855,0.125,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Citrus X aurantium,0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.010752688172043012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Clethra scabra,0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.010752688172043012,0.0,0.010752688172043012,0.01639344262295082,0.009708737864077669,0.0,0.08,0.03773584905660377,0.02127659574468085,0.02,0.07692307692307693,0.125,0.0625,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0.0,0
Cnicothamnus lorentzii,0,0.0,0.0,0.03125,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.010752688172043012,0.01639344262295082,0.0,0.010526315789473684,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Cnidoscolus vitifolius,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Coccoloba tiliacea,0,0.0,0.0,0.0,0.01818181818181818,0.0,0.01639344262295082,0.0,0.0,0.0,0.011627906976744186,0.0,0.01639344262295082,0.019417475728155338,0.031578947368421054,0.04,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Cordia alliodora,0,0.3333333333333333,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010752688172043012,0.01639344262295082,0.009708737864077669,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Cordia americana,0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.025974025974025976,0.010752688172043012,0.023255813953488372,0.021505376344086023,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Cordia saccellia,0,0.0,0.0,0.0625,0.10909090909090909,0.05263157894736842,0.04918032786885246,0.019230769230769232,0.012987012987012988,0.0,0.011627906976744186,0.0,0.0,0.009708737864077669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Cordia trichotoma,0,0.0,0.0,0.0,0.0,0.0,0.03278688524590164,0.0,0.0,0.010752688172043012,0.0,0.0,0.0,0.009708737864077669,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Coutarea hexandra,0,0.0,0.25,0.03125,0.09090909090909091,0.10526315789473684,0.0,0.0,0.012987012987012988,0.0,0.011627906976744186,0.0,0.0,0.0,0.010526315789473684,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
Croton argenteus,0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
