species,0-99,100-199,200-299,300-399,400-499,500-599,600-699,700-799,800-899,900-999,1000-1099,1100-1199,1200-1299,1300-1399,1400-1499,1500-1599,1600-1699,1700-1799,1800-1899,1900-1999,2000-2099,2100-2199,2200-2299,2300-2399,2400-2499,2500-2599,2600-2699,2700-2799,2800-2899,2900-2999,3000-3099,3100-3199,3200-3299,3300-3399,3400-3499,3500-3599,3600-3699,3700-3799,3800-3899,3900-3999,4000-4099
Abatia parviflora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.06521739130434782,0.024390243902439025,0.09090909090909091,0.18181818181818182,0.11688311688311687,0.04081632653061224,0.08,0.2608695652173913,0.09523809523809525,0.19999999999999998,0.05263157894736842,0.07692307692307691,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha cuneata,0.0,0.09523809523809525,0.0,0.15,0.16,0.0,0.0,0.0,0.0,0.0,0.11111111111111112,0.0,0.05555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha diversifolia,0.0,1.0,0.7692307692307693,1.0,0.68,1.0,1.0,0.9230769230769231,0.76,1.0,1.0,0.5333333333333333,0.6666666666666667,0.23529411764705882,0.3157894736842105,0.34782608695652173,0.13636363636363638,0.13636363636363635,0.2857142857142857,0.18181818181818182,0.0,0.02173913043478261,0.06521739130434782,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha macrostachya,0.0,0.3333333333333333,0.38461538461538464,0.475,0.4,0.9090909090909091,0.7916666666666666,0.8846153846153846,1.0,0.5,1.0,1.0,0.5555555555555556,0.9411764705882353,0.7894736842105263,0.5652173913043478,1.0,0.5,0.5,0.36363636363636365,0.29629629629629634,0.13043478260869565,0.13043478260869565,0.04878048780487805,0.09090909090909091,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.02631578947368421,0.03846153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha stricta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Achatocarpus nigricans,0.0,0.04761904761904762,0.07692307692307693,0.1,0.12,0.1515151515151515,0.0,0.07692307692307693,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adenocalymma aspericarpum,0.0,0.5714285714285714,0.15384615384615385,0.22499999999999998,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aegiphila alba,0.0,0.0,0.038461538461538464,0.0,0.0,0.0606060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.06521739130434782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aegiphila bogotensis,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.04545454545454545,0.0,0.0,0.03703703703703704,0.0,0.0,0.024390243902439025,0.030303030303030304,0.0,0.0,0.02040816326530612,0.04,0.1739130434782609,0.04761904761904762,0.31999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aegiphila cuatrecasasii,0.0,0.0,0.0,0.0,0.0,0.0303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aegiphila integrifolia,0.0,0.1904761904761905,0.07692307692307693,0.125,0.16,0.36363636363636365,0.4166666666666667,0.2692307692307693,0.27999999999999997,0.029411764705882353,0.05555555555555556,0.3333333333333333,0.05555555555555556,0.0,0.0,0.0,0.045454545454545456,0.04545454545454545,0.0,0.06060606060606061,0.0,0.04347826086956522,0.0,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aegiphila laeta,0.0,0.04761904761904762,0.038461538461538464,0.05,0.0,0.0606060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.0,0.0,0.04347826086956522,0.021739130434782608,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aegiphila panamensis,0.0,0.1904761904761905,0.038461538461538464,0.1,0.0,0.0,0.0,0.11538461538461539,0.0,0.029411764705882353,0.0,0.0,0.0,0.058823529411764705,0.0,0.043478260869565216,0.13636363636363638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
