species,0-99,100-199,200-299,300-399,400-499,500-599,600-699,700-799,800-899,900-999,1000-1099,1100-1199,1200-1299,1300-1399,1400-1499,1500-1599,1600-1699,1700-1799,1800-1899,1900-1999,2000-2099,2100-2199,2200-2299,2300-2399,2400-2499,2500-2599,2600-2699,2700-2799,2800-2899,2900-2999,3000-3099,3100-3199,3200-3299,3300-3399,3400-3499,3500-3599,3600-3699,3700-3799,3800-3899,3900-3999,4000-4099
Abatia parviflora,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0017889087656529517,0.0,0.0,0.0,0.0,0.023809523809523808,0.03125,0.02380952380952381,0.0,0.034482758620689655,0.06666666666666667,0.08823529411764705,0.13636363636363638,0.10714285714285714,0.06896551724137931,0.24637681159420288,0.008952551477170993,0.1464968152866242,0.6599999999999999,0.7435897435897435,0.06976744186046512,0.08888888888888889,0.016129032258064516,0.016129032258064516,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0
Acalypha cuneata,0.0,0.008849557522123895,0.0297029702970297,0.2181818181818182,0.34146341463414637,0.22580645161290325,0.3214285714285714,0.06666666666666667,0.15789473684210525,0.0,0.0,0.07692307692307693,0.0,0.0,0.029411764705882356,0.047619047619047616,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha diversifolia,0.0,0.07964601769911504,0.13366336633663367,0.5454545454545454,0.6829268292682927,0.8064516129032258,0.9285714285714285,0.39999999999999997,0.631578947368421,0.21951219512195122,0.021466905187835422,0.4615384615384615,0.3947368421052632,0.78125,0.411764705882353,0.2857142857142857,0.6562500000000001,0.5952380952380952,0.7222222222222222,0.3103448275862069,0.3333333333333333,0.08823529411764705,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha macrostachya,0.0,0.0,0.01485148514851485,0.14545454545454545,0.34146341463414637,0.6451612903225807,0.39285714285714285,0.5,0.15789473684210525,0.3414634146341463,0.06261180679785332,1.0,0.6578947368421052,0.625,0.5,1.0,1.0,1.0,0.8055555555555556,1.0,0.7,0.44117647058823534,0.31818181818181823,0.14285714285714285,0.0,0.0,0.0013428827215756492,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha stenoloba,0.0,0.0,0.0,0.0,0.024390243902439022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha stricta,0.0,0.0,0.0,0.0,0.0,0.03225806451612904,0.0,0.0,0.0,0.0,0.0017889087656529517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Achatocarpus nigricans,0.0,0.0,0.012376237623762377,0.16363636363636364,0.24390243902439027,0.03225806451612904,0.0,0.0,0.15789473684210525,0.31707317073170727,0.028622540250447227,0.15384615384615385,0.0,0.03125,0.0,0.023809523809523808,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Achatocarpus praecox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adenocalymma aspericarpum,0.0,0.0,0.0024752475247524753,0.01818181818181818,0.024390243902439022,0.03225806451612904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aegiphila aculeifera,0.0,0.008849557522123895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
