species,0-99,100-199,200-299,300-399,400-499,500-599,600-699,700-799,800-899,900-999,1000-1099,1100-1199,1200-1299,1300-1399,1400-1499,1500-1599,1600-1699,1700-1799,1800-1899,1900-1999,2000-2099,2100-2199,2200-2299,2300-2399,2400-2499,2500-2599,2600-2699,2700-2799,2800-2899,2900-2999,3000-3099,3100-3199,3200-3299,3300-3399,3400-3499,3500-3599,3600-3699,3700-3799,3800-3899,3900-3999,4000-4099
Abatia parviflora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha cuneata,0.0,0.0,0.07017543859649122,0.05263157894736842,0.1282051282051282,0.18750000000000003,0.375,0.5,0.07692307692307691,0.35294117647058826,0.0,0.23076923076923078,0.26666666666666666,0.11111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha diversifolia,0.0,0.0,0.3333333333333333,0.42105263157894735,0.17948717948717952,0.18750000000000003,0.625,0.25,0.23076923076923075,0.23529411764705882,0.42857142857142855,0.15384615384615385,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.052631578947368425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha macrostachya,0.0,0.0,0.10526315789473685,0.15789473684210525,0.025641025641025644,0.0625,0.0,0.25,0.15384615384615383,0.058823529411764705,0.07142857142857142,0.15384615384615385,0.4666666666666667,0.3333333333333333,0.037037037037037035,0.052631578947368425,0.09999999999999999,0.21428571428571433,0.09523809523809523,0.15789473684210525,0.0,0.0,0.04761904761904762,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha stenoloba,0.0,0.0,0.052631578947368425,0.10526315789473684,0.07692307692307693,0.0625,0.0,0.4166666666666667,0.07692307692307691,0.23529411764705882,0.3571428571428571,0.3076923076923077,0.4,0.4444444444444445,0.1111111111111111,0.10526315789473685,0.5,0.14285714285714288,0.14285714285714288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha stricta,0.0,0.26315789473684215,0.4385964912280702,0.5,0.35897435897435903,0.0625,0.875,1.0,0.07692307692307691,0.11764705882352941,0.14285714285714285,0.07692307692307693,0.26666666666666666,0.11111111111111112,0.037037037037037035,0.052631578947368425,0.19999999999999998,0.14285714285714288,0.14285714285714288,0.10526315789473685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Achatocarpus praecox,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.33333333333333337,0.3846153846153846,0.7058823529411765,0.42857142857142855,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Actinostemon concolor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333334,0.07692307692307691,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aegiphila cuatrecasasii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333334,0.0,0.04761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aegiphila integrifolia,0.0,0.26315789473684215,0.08771929824561403,0.21052631578947367,0.10256410256410257,0.25,0.0,0.0,0.07692307692307691,0.17647058823529413,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.09999999999999999,0.0,0.047619047619047616,0.052631578947368425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
