species,0-99,100-199,200-299,300-399,400-499,500-599,600-699,700-799,800-899,900-999,1000-1099,1100-1199,1200-1299,1300-1399,1400-1499,1500-1599,1600-1699,1700-1799,1800-1899,1900-1999,2000-2099,2100-2199,2200-2299,2300-2399,2400-2499,2500-2599,2600-2699,2700-2799,2800-2899,2900-2999,3000-3099,3100-3199,3200-3299,3300-3399,3400-3499,3500-3599,3600-3699,3700-3799,3800-3899,3900-3999,4000-4099
Acalypha cuneata,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.375,0.125,0.25,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha diversifolia,0.0,0.2,0.19047619047619047,0.12121212121212123,0.2692307692307692,0.27272727272727276,0.375,0.0,0.375,0.0,0.0,0.0,0.0,0.08333333333333334,0.22222222222222224,0.0,0.16666666666666666,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha macrostachya,0.0,0.2,0.38095238095238093,0.030303030303030307,0.19230769230769232,0.36363636363636365,0.25,0.5,0.375,0.0,0.4444444444444445,0.0,0.0,0.5,0.6666666666666667,0.0,0.16666666666666666,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.14285714285714288,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha stenoloba,0.0,0.0,0.6190476190476191,0.21212121212121213,0.07692307692307693,0.9090909090909091,0.375,0.75,0.375,0.2857142857142857,0.22222222222222224,0.125,0.7,1.0,0.5555555555555556,0.9090909090909091,0.6666666666666666,0.6,0.8181818181818182,0.4444444444444444,0.75,0.7777777777777778,0.11111111111111112,0.22222222222222224,0.2142857142857143,0.10526315789473684,0.13333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acalypha stricta,0.0,0.0,0.5714285714285714,0.2727272727272727,0.4615384615384615,0.45454545454545453,0.25,1.0,0.75,0.42857142857142855,1.0,0.25,0.6,0.33333333333333337,0.4444444444444445,0.0,0.16666666666666666,0.4,0.27272727272727276,0.0,0.16666666666666666,0.1111111111111111,0.0,0.0,0.2142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Achatocarpus nigricans,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Achatocarpus praecox,0.0,0.0,0.0,0.15151515151515152,0.11538461538461538,0.36363636363636365,0.0,0.0,0.0,0.14285714285714285,0.22222222222222224,0.0,0.2,0.08333333333333334,0.4444444444444445,0.45454545454545453,0.3333333333333333,0.4,0.18181818181818182,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aegiphila integrifolia,0.0,0.0,0.09523809523809523,0.12121212121212123,0.19230769230769232,0.18181818181818182,0.0,0.0,0.0,0.0,0.11111111111111112,0.0,0.2,0.08333333333333334,0.11111111111111112,0.09090909090909091,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.11111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aegiphila saltensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857144,0.10526315789473684,0.06666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agonandra excelsa,0.0,0.0,0.047619047619047616,0.12121212121212123,0.038461538461538464,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
