Species,Min Elevation Bracket,Max Elevation Bracket
Abatia parviflora,300-399,3600-3699
Acalypha cuneata,200-299,1600-1699
Acalypha diversifolia,100-199,3000-3099
Acalypha macrostachya,200-299,2800-2899
Acalypha stenoloba,400-499,400-499
Acalypha stricta,500-599,500-599
Achatocarpus nigricans,200-299,1600-1699
Achatocarpus praecox,1100-1199,1100-1199
Adenocalymma aspericarpum,300-399,500-599
Aegiphila aculeifera,2100-2199,3000-3099
Aegiphila alba,100-199,2200-2299
Aegiphila bogotensis,1200-1299,3400-3499
Aegiphila cuatrecasasii,1700-1799,2300-2399
Aegiphila integrifolia,100-199,2100-2199
Aegiphila laeta,700-799,2300-2399
Aegiphila monticola,2800-2899,3300-3399
Aegiphila panamensis,300-399,2000-2099
Aequatorium jamesonii,3100-3199,3700-3799
Ageratina boyacensis,2700-2799,3300-3399
Ageratina glyptophlebia,2300-2399,3900-3999
Ageratina popayanensis,1100-1199,3600-3699
Ageratina tinifolia,300-399,3900-3999
Agonandra silvatica,300-399,600-699
Agouticarpa williamsii,100-199,2200-2299
Aiouea dubia,1200-1299,3300-3399
Aiouea formicaria,1700-1799,1700-1799
Aiouea grandifolia,300-399,1500-1599
Aiouea palaciosii,1900-1999,3000-3099
Aiphanes hirsuta,500-599,2000-2099
Aiphanes horrida,100-199,2300-2399
Aiphanes linearis,1300-1399,2200-2299
Albizia carbonaria,500-599,1600-1699
Albizia niopoides,800-899,1400-1499
Albizia subdimidiata,100-199,800-899
Alchornea acutifolia,300-399,2400-2499
Alchornea bogotensis,700-799,2900-2999
Alchornea brittonii,1900-1999,2000-2099
Alchornea coelophylla,800-899,3200-3299
Alchornea costaricensis,1400-1499,1800-1899
Alchornea floribunda,800-899,800-899
Alchornea glandulosa,100-199,3700-3799
Alchornea grandiflora,800-899,2800-2899
Alchornea grandis,300-399,2000-2099
Alchornea latifolia,100-199,2800-2899
Alchornea megalophylla,800-899,900-999
Alchornea pearcei,1300-1399,2000-2099
Alchornea triplinervia,100-199,3900-3999
Alchornea verticillata,N/A,N/A
Alchorneopsis floribunda,100-199,900-999
Alfaroa colombiana,1400-1499,1900-1999
Alfaroa williamsii,1200-1299,1600-1699
Alibertia bertierifolia,700-799,900-999
Allophylus amazonicus,100-199,700-799
Allophylus divaricatus,N/A,N/A
Allophylus dodsonii,500-599,500-599
Allophylus edulis,1200-1299,1200-1299
Allophylus excelsus,500-599,2900-2999
Allophylus floribundus,100-199,2400-2499
Allophylus incanus,500-599,500-599
Allophylus pilosus,400-499,600-699
Allophylus psilospermus,500-599,1600-1699
Allophylus punctatus,700-799,1800-1899
Alnus acuminata,300-399,3500-3599
Alseis blackiana,200-299,500-599
Chrysophyllum venezuelanense,300-399,1700-1799
Ciliosemina pedunculata,200-299,1300-1399
Cinchona antioquiae,900-999,2000-2099
Cinchona calisaya,1200-1299,1200-1299
Cinchona macrocalyx,3000-3099,3000-3099
Cinchona officinalis,100-199,2900-2999
Cinchona pubescens,1100-1199,3000-3099
Cinchona pyrifolia,2000-2099,2000-2099
Cinchonopsis amazonica,100-199,700-799
Cissus trianae,1200-1299,2200-2299
Citharexylum gentryi,500-599,500-599
Citharexylum montanum,1100-1199,3100-3199
Citronella incarum,500-599,2900-2999
Citrus X aurantium,300-399,3200-3299
Citrus limon,200-299,2300-2399
Clarisia biflora,100-199,2300-2399
Clarisia racemosa,100-199,2400-2499
Clavija cauliflora,1300-1399,2200-2299
Clavija clavata,1800-1899,1800-1899
Clavija eggersiana,400-499,2000-2099
Clavija laplanadae,1400-1499,1800-1899
