Species,Min Elevation Bracket,Max Elevation Bracket
Abatia parviflora,2000-2099,2800-2899
Acalypha cuneata,100-199,1800-1899
Acalypha diversifolia,100-199,1900-1999
Acalypha macrostachya,100-199,1600-1699
Acalypha stenoloba,100-199,1600-1699
Acalypha stricta,100-199,1800-1899
Achatocarpus praecox,400-499,1700-1799
Achatocarpus pubescens,600-699,600-699
Actinostemon concolor,400-499,400-499
Aegiphila alba,1200-1299,1200-1299
Aegiphila integrifolia,200-299,3200-3299
Aegiphila panamensis,200-299,700-799
Aegiphila saltensis,1900-1999,1900-1999
Agonandra excelsa,200-299,1600-1699
Agonandra peruviana,600-699,600-699
Agonandra silvatica,100-199,600-699
Aiouea grandifolia,200-299,1500-1599
Aiphanes horrida,100-199,200-299
Albizia multiflora,600-699,1800-1899
Albizia niopoides,200-299,1600-1699
Albizia subdimidiata,100-199,100-199
Alchornea acutifolia,300-399,1900-1999
Alchornea glandulosa,200-299,2400-2499
Alchornea grandiflora,700-799,2500-2599
Alchornea grandis,1800-1899,2100-2199
Alchornea latifolia,600-699,1400-1499
Alchornea pearcei,800-899,2200-2299
Alchornea triplinervia,100-199,2000-2099
Alchorneopsis floribunda,400-499,900-999
Alibertia bertierifolia,100-199,200-299
Allophylus coriaceus,1900-1999,1900-1999
Allophylus divaricatus,100-199,300-399
Allophylus edulis,400-499,400-499
Allophylus excelsus,100-199,100-199
Allophylus floribundus,100-199,2500-2599
Allophylus glabratus,600-699,600-699
Allophylus loretensis,200-299,400-499
Allophylus pilosus,200-299,400-499
Allophylus punctatus,200-299,2500-2599
Alnus acuminata,500-599,3900-3999
Chrysophyllum venezuelanense,200-299,2500-2599
Ciliosemina pedunculata,100-199,1100-1199
Cinchona hirsuta,2800-2899,2800-2899
Cinchona macrocalyx,2400-2499,3000-3099
Cinchona micrantha,1100-1199,1100-1199
Cinchona officinalis,800-899,800-899
Cinchona pubescens,400-499,2600-2699
Cinchonopsis amazonica,300-399,800-899
Cissus trianae,700-799,2300-2399
Citronella incarum,200-299,2900-2999
Citrus X aurantium,300-399,1400-1499
Citrus limon,300-399,1400-1499
Clarisia biflora,100-199,2100-2199
Clarisia racemosa,100-199,900-999
Clavija eggersiana,1700-1799,1700-1799
Clethra castaneifolia,400-499,2500-2599
Clethra cuneata,1900-1999,3500-3599
Clethra ferruginea,2700-2799,3500-3599
Clethra fimbriata,1900-1999,3200-3299
Clethra obovata,2200-2299,2200-2299
Clethra ovalifolia,2100-2199,3400-3499
Clethra pedicellaris,200-299,1900-1999
Clethra revoluta,1800-1899,3300-3399
Clethra scabra,2400-2499,2400-2499
Clitoria arborea,800-899,2800-2899
Clusia alata,1100-1199,1300-1399
Clusia crenata,2800-2899,2800-2899
Clusia decussata,1000-1099,1000-1099
Clusia ducu,1600-1699,2300-2399
Clusia ducuoides,1300-1399,2600-2699
Clusia elliptica,1500-1599,3000-3099
Clusia flavida,100-199,1600-1699
Clusia hammeliana,200-299,700-799
Clusia haughtii,300-399,600-699
Clusia lineata,1000-1099,1700-1799
Clusia minor,300-399,2300-2399
Clusia multiflora,2200-2299,3000-3099
Clusia octandra,600-699,1300-1399
Clusia palmicida,600-699,600-699
Clusia pavonii,2200-2299,2700-2799
Clusia penduliflora,300-399,300-399
Clusia schomburgkiana,200-299,400-499
Clusia schultesii,800-899,800-899
Clusia sphaerocarpa,1700-1799,3100-3199
Clusia thurifera,1800-1899,2000-2099
Clusia trochiformis,600-699,1800-1899
Coccoloba acuminata,100-199,200-299
Coccoloba ascendens,300-399,300-399
Coccoloba coronata,300-399,500-599
Coccoloba densifrons,100-199,300-399
Coccoloba mollis,200-299,1700-1799
Coccoloba padiformis,400-499,400-499
Coccoloba peruviana,200-299,500-599
Cochlospermum orinocense,100-199,200-299
Coffea arabica,200-299,1900-1999
Colicodendron scabridum,400-499,1800-1899
Colubrina retusa,400-499,600-699
Condalia weberbaueri,400-499,2700-2799
Condaminea corymbosa,200-299,2100-2199
Cordia alliodora,100-199,2700-2799
Cordia bicolor,200-299,400-499
Cordia iguaguana,300-399,1600-1699
Cordia lomatoloba,400-499,400-499
Cordia lutea,200-299,1500-1599
Cordia nodosa,100-199,1600-1699
Cordia saccellia,400-499,2500-2599
Cordia ucayaliensis,100-199,2500-2599
Cornus peruviana,1900-1999,3200-3299
Cornutia pyramidata,400-499,1000-1099
Cosmibuena grandiflora,400-499,2100-2199
Couma macrocarpa,100-199,500-599
Couratari guianensis,100-199,200-299
Couroupita guianensis,100-199,800-899
Coussapoa herthae,1300-1399,1300-1399
Coussapoa villosa,100-199,2100-2199
Coussarea ecuadorensis,1500-1599,1500-1599
Coussarea hirticalyx,800-899,1600-1699
Coussarea klugii,300-399,1000-1099
Coussarea paniculata,100-199,1200-1299
Coussarea tenuiflora,700-799,1600-1699
Coutarea hexandra,300-399,900-999
Crepidospermum rhoifolium,100-199,800-899
Critoniopsis floribunda,1500-1599,2700-2799
Croton glabellus,100-199,600-699
Croton lechleri,200-299,1900-1999
Croton rimbachii,1900-1999,1900-1999
Croton sampatik,300-399,900-999
Croton schiedeanus,200-299,1300-1399
Croton tessmannii,100-199,2800-2899
Croton thurifer,400-499,1800-1899
Cuatresia cuspidata,600-699,600-699
Cuatresia riparia,300-399,300-399
Cupania americana,900-999,900-999
Cupania cinerea,100-199,800-899
Cupania latifolia,300-399,2800-2899
Cupania rufescens,1500-1599,1500-1599
Cupania scrobiculata,100-199,700-799
Cupania vernalis,100-199,100-199
Curatella americana,300-399,500-599
Cyathea bipinnatifida,200-299,2900-2999
Cyathea caracasana,1800-1899,2200-2299
Cyathea conjugata,1400-1499,2400-2499
Cyathea crenata,1900-1999,1900-1999
Cyathea cystolepis,2400-2499,2600-2699
Cyathea delgadii,300-399,2200-2299
Cyathea frigida,2600-2699,2600-2699
Cyathea herzogii,2700-2799,2700-2799
Cyathea kalbreyeri,1100-1199,1100-1199
