Species,Min Elevation Bracket,Max Elevation Bracket
Abatia parviflora,2200-2299,2200-2299
Acalypha cuneata,200-299,1300-1399
Acalypha diversifolia,200-299,1900-1999
Acalypha macrostachya,200-299,2300-2399
Acalypha stenoloba,200-299,1800-1899
Acalypha stricta,100-199,1900-1999
Achatocarpus praecox,600-699,1200-1299
Actinostemon concolor,700-799,1200-1299
Aegiphila cuatrecasasii,2000-2099,2200-2299
Aegiphila integrifolia,100-199,1900-1999
Aegiphila panamensis,200-299,2000-2099
Agonandra excelsa,200-299,1200-1299
Agonandra peruviana,200-299,2200-2299
Agonandra silvatica,100-199,1900-1999
Agouticarpa williamsii,1100-1199,1100-1199
Aiouea dubia,600-699,2200-2299
Aiouea grandifolia,200-299,1600-1699
Aiphanes horrida,100-199,1700-1799
Albizia carbonaria,700-799,2700-2799
Albizia multiflora,200-299,200-299
Albizia niopoides,100-199,1400-1499
Albizia subdimidiata,200-299,200-299
Alchornea acutifolia,800-899,1400-1499
Alchornea anamariae,1400-1499,2300-2399
Alchornea brittonii,1200-1299,2800-2899
Alchornea coelophylla,2000-2099,2000-2099
Alchornea glandulosa,200-299,3200-3299
Alchornea grandiflora,700-799,2900-2999
Alchornea grandis,1400-1499,2500-2599
Alchornea latifolia,1000-1099,2200-2299
Alchornea pearcei,800-899,2600-2699
Alchornea triplinervia,100-199,2400-2499
Alchorneopsis floribunda,200-299,900-999
Alibertia bertierifolia,100-199,600-699
Allophylus amazonicus,200-299,1200-1299
Allophylus coriaceus,2200-2299,2200-2299
Allophylus divaricatus,100-199,1400-1499
Allophylus dodsonii,300-399,300-399
Allophylus edulis,200-299,1200-1299
Allophylus excelsus,2400-2499,2500-2599
Allophylus floribundus,100-199,2200-2299
Allophylus glabratus,200-299,700-799
Allophylus incanus,300-399,300-399
Allophylus loretensis,100-199,1400-1499
Allophylus pilosus,100-199,1600-1699
Allophylus punctatus,100-199,1900-1999
Alnus acuminata,1500-1599,3500-3599
Alseis blackiana,100-199,400-499
Chrysophyllum venezuelanense,100-199,1500-1599
Cinchona calisaya,100-199,3100-3199
Cinchona hirsuta,2300-2399,3000-3099
