Species,Min Elevation Bracket,Max Elevation Bracket
Acalypha cuneata,500-599,900-999
Acalypha diversifolia,100-199,1800-1899
Acalypha macrostachya,100-199,2500-2599
Acalypha stenoloba,200-299,2600-2699
Acalypha stricta,200-299,2400-2499
Achatocarpus nigricans,300-399,1400-1499
Achatocarpus praecox,300-399,2100-2199
Aegiphila integrifolia,200-299,2200-2299
Aegiphila saltensis,1700-1799,2600-2699
Agonandra excelsa,200-299,1700-1799
Aiouea grandifolia,1200-1299,1200-1299
Aiphanes horrida,400-499,1400-1499
Albizia niopoides,100-199,600-699
Albizia subdimidiata,100-199,200-299
Alchornea anamariae,1500-1599,2300-2399
Alchornea brittonii,1200-1299,2800-2899
Alchornea coelophylla,1500-1599,1500-1599
Alchornea glandulosa,200-299,2400-2499
Alchornea grandiflora,2100-2199,2700-2799
Alchornea grandis,2200-2299,2200-2299
Alchornea latifolia,600-699,2300-2399
Alchornea pearcei,1200-1299,2600-2699
Alchornea triplinervia,200-299,2300-2399
Alibertia bertierifolia,300-399,800-899
Allophylus amazonicus,500-599,500-599
Allophylus divaricatus,200-299,1200-1299
Allophylus edulis,200-299,2300-2399
Allophylus excelsus,1800-1899,1800-1899
Allophylus floribundus,200-299,2000-2099
Allophylus glabratus,400-499,1800-1899
Allophylus psilospermus,300-399,900-999
Allophylus punctatus,100-199,2000-2099
Alnus acuminata,400-499,3800-3899
Chrysophyllum venezuelanense,300-399,900-999
Cinchona calisaya,700-799,2900-2999
Cinchona macrocalyx,2800-2899,2800-2899
Cinchona micrantha,1300-1399,1300-1399
Cinchona officinalis,900-999,2000-2099
Cinchona pubescens,400-499,3300-3399
Cinchona pyrifolia,2500-2599,2500-2599
Cissus trianae,2200-2299,3200-3299
Citronella incarum,2100-2199,2500-2599
Citrus X aurantium,1500-1599,1500-1599
Citrus limon,200-299,200-299
Clarisia biflora,100-199,1400-1499
Clarisia racemosa,100-199,1200-1299
Clavija nutans,300-399,1500-1599
Clethra castaneifolia,2600-2699,2800-2899
Clethra cuneata,1900-1999,3600-3699
Clethra fagifolia,2000-2099,2000-2099
Clethra ferruginea,3000-3099,3500-3599
Clethra fimbriata,2800-2899,3400-3499
Clethra pedicellaris,2400-2499,2900-2999
Clethra revoluta,1700-1799,2900-2999
Clethra scabra,300-399,3100-3199
Clitoria arborea,400-499,600-699
Clusia colombiana,2400-2499,2400-2499
Clusia ducu,1600-1699,2600-2699
Clusia ducuoides,1700-1799,1700-1799
Clusia elliptica,1900-1999,3200-3299
Clusia flavida,200-299,1200-1299
Clusia hammeliana,500-599,900-999
Clusia haughtii,500-599,1600-1699
Clusia minor,2000-2099,2000-2099
Clusia multiflora,1600-1699,3200-3299
Clusia penduliflora,200-299,1200-1299
Clusia sphaerocarpa,1500-1599,3900-3999
Clusia trochiformis,800-899,2400-2499
Clusia volubilis,2300-2399,2300-2399
