Species,Min Elevation Bracket,Max Elevation Bracket
Acalypha diversifolia,600-699,1400-1499
Acalypha stricta,1100-1199,1400-1499
Achatocarpus praecox,400-499,1300-1399
Aegiphila saltensis,600-699,1600-1699
Agonandra excelsa,400-499,1300-1399
Albizia niopoides,1300-1399,1300-1399
Allophylus edulis,600-699,2300-2399
Alnus acuminata,800-899,2400-2499
Citrus X aurantium,400-499,900-999
Clethra scabra,500-599,2500-2599
Cnicothamnus lorentzii,300-399,1800-1899
Cnidoscolus vitifolius,400-499,800-899
Coccoloba coronata,1500-1599,1500-1599
Coccoloba tiliacea,300-399,1900-1999
Cordia alliodora,100-199,1400-1499
Cordia americana,300-399,1200-1299
Cordia saccellia,200-299,1700-1799
Cordia trichotoma,300-399,1600-1699
Coutarea hexandra,200-299,1900-1999
Croton argenteus,300-399,300-399
Croton lechleri,1000-1099,1200-1299
Cupania vernalis,600-699,1800-1899
Cynophalla flexuosa,800-899,1300-1399
Diatenopteryx sorbifolia,600-699,1300-1399
Duranta serratifolia,1100-1199,2200-2299
Enterolobium contortisiliquum,400-499,1800-1899
Enterolobium cyclocarpum,200-299,500-599
Eriotheca roseorum,1300-1399,1300-1399
Erythroxylum argentinum,1200-1299,1700-1799
Erythroxylum citrifolium,500-599,500-599
Erythroxylum macrophyllum,100-199,100-199
Escallonia paniculata,900-999,900-999
Eugenia florida,900-999,1400-1499
Eugenia moraviana,600-699,1300-1399
Eugenia uniflora,400-499,1700-1799
Ficus citrifolia,800-899,1400-1499
Ficus cuatrecasana,1400-1499,1400-1499
Ficus cuatrecasasiana,1300-1399,1600-1699
Ficus eximia,1300-1399,1300-1399
Ficus maroma,600-699,900-999
Ficus mathewsii,600-699,600-699
Ficus maxima,1000-1099,1000-1099
Ficus trigona,1600-1699,1600-1699
Freziera cyanocantha,2700-2799,2700-2799
Alsophila incana,800-899,1600-1699
Amburana cearensis,400-499,600-699
Anadenanthera colubrina,200-299,1900-1999
Anadenanthera columbrina,200-299,1900-1999
Gleditsia amorphoides,300-399,2000-2099
Handroanthus chrysanthus,900-999,900-999
Handroanthus impetiginosus,400-499,1400-1499
Handroanthus ochraceus,500-599,1100-1199
Hebanthe occidentalis,300-399,1600-1699
Helicostylis scabra,300-399,300-399
Heliocarpus americanus,700-799,1100-1199
Inga edulis,400-499,800-899
Inga laurina,1000-1099,1000-1099
Inga macrophylla,1500-1599,1500-1599
Inga marginata,400-499,1800-1899
Jacaranda mimosifolia,300-399,1800-1899
Juglans australis,700-799,1900-1999
Kaunia saltensis,1400-1499,2800-2899
Lacistema aggregatum,400-499,400-499
Libidibia paraguariensis,300-399,1200-1299
Lonchocarpus lilloi,400-499,1200-1299
Loxopterygium grisebachii,400-499,1400-1499
Maclura tinctoria,300-399,1900-1999
Matayba arborescens,1100-1199,1100-1199
Mauria heterophylla,800-899,800-899
Maytenus verticillata,1900-1999,1900-1999
Annona emarginata,1100-1199,1800-1899
Aralia soratensis,1000-1099,1300-1399
Miconia calvescens,500-599,1400-1499
Morella pubescens,1600-1699,2700-2799
Morus alba,1400-1499,1400-1499
Muntingia calabura,400-499,700-799
Myracrodruon urundeuva,800-899,1100-1199
Myrcianthes pungens,600-699,2100-2199
Myriocarpa stipitata,400-499,800-899
Myroxylon balsamum,600-699,600-699
Myroxylon peruiferum,1000-1099,2000-2099
Myrsine laetevirens,900-999,1400-1499
Nectandra membranacea,1500-1599,1500-1599
Nordenstamia repanda,2200-2299,2200-2299
Ocotea javitensis,300-399,300-399
Ocotea porphyria,600-699,1900-1999
Ocotea puberula,900-999,1400-1499
Parapiptadenia excelsa,700-799,1800-1899
Parodiodendron marginivillosum,700-799,800-899
Persea americana,900-999,1400-1499
Phyllanthus acuminatus,400-499,1900-1999
Phyllostylon rhamnoides,800-899,800-899
Athyana weinmanniifolia,800-899,1300-1399
Baccharis latifolia,1700-1799,2400-2499
Bejaria aestuans,1500-1599,2400-2499
Piper aduncum,600-699,1600-1699
Piper amalago,300-399,1600-1699
Piper tucumanum,600-699,1800-1899
Pisonia ambigua,1000-1099,1900-1999
Pisonia zapallo,500-599,1300-1399
Pogonopus tubulosus,400-499,1900-1999
Praecereus euchlorus,1300-1399,1300-1399
Prunus integrifolia,1000-1099,1400-1499
Pseudobombax argentinum,1300-1399,1300-1399
Pseudobombax marginatum,300-399,300-399
Psidium guineense,1000-1099,1800-1899
Pterogyne nitens,300-399,1900-1999
Randia armata,1300-1399,2100-2199
Randia micracantha,600-699,2100-2199
Rhamnidium elaeocarpum,800-899,1800-1899
Roupala montana,1100-1199,1700-1799
Ruprechtia apetala,300-399,1600-1699
