species,a.10.5,b.5.0,c.0.-5,d.-5.-10,e.-10.-15,f.-15.-20,g.-20.-25
Abatia parviflora,300,1600,2600,800,0,N/A,N/A
Acalypha cuneata,0,800,2000,1700,1100,400,N/A
Acalypha diversifolia,1800,2000,3700,1800,1700,1700,800
Acalypha macrostachya,2600,2000,1300,1500,2100,2400,N/A
Achatocarpus nigricans,0,800,N/A,N/A,N/A,1100,N/A
Adenocalymma aspericarpum,200,200,N/A,N/A,N/A,N/A,N/A
Aegiphila alba,0,1700,2500,0,N/A,N/A,N/A
Aegiphila bogotensis,200,2200,2600,N/A,N/A,N/A,N/A
Aegiphila cuatrecasasii,0,400,1000,N/A,0,N/A,N/A
Aegiphila integrifolia,0,1700,1500,3000,1800,2000,N/A
Aegiphila laeta,1600,1600,N/A,N/A,N/A,N/A,N/A
Aegiphila panamensis,0,0,1900,500,300,N/A,N/A
Aequatorium jamesonii,300,0,1000,N/A,N/A,N/A,N/A
Ageratina boyacensis,0,0,N/A,N/A,N/A,N/A,N/A
Ageratina glyptophlebia,1300,1100,N/A,N/A,N/A,N/A,N/A
Ageratina popayanensis,1900,1900,N/A,N/A,N/A,N/A,N/A
Ageratina tinifolia,1200,1500,0,N/A,N/A,N/A,N/A
Agouticarpa williamsii,1400,1500,1000,N/A,0,N/A,N/A
Aiouea dubia,300,1700,800,N/A,0,N/A,N/A
Aiouea palaciosii,0,1100,0,N/A,N/A,N/A,N/A
Aiphanes hirsuta,600,1000,N/A,N/A,N/A,N/A,N/A
Aiphanes horrida,200,1400,0,100,1500,800,N/A
Aiphanes linearis,900,0,N/A,N/A,N/A,N/A,N/A
Aiphanes parvifolia,0,N/A,N/A,N/A,N/A,N/A,N/A
Albizia carbonaria,1500,400,N/A,N/A,2000,N/A,N/A
Albizia niopoides,100,0,600,1400,1000,500,0
Albizia subdimidiata,0,500,0,0,0,100,N/A
Alchornea acutifolia,1400,400,0,1600,100,N/A,N/A
Alchornea bogotensis,0,200,400,N/A,N/A,N/A,N/A
Alchornea brittonii,0,0,0,N/A,1600,1600,N/A
Alchornea coelophylla,0,1500,1400,N/A,0,0,N/A
Alchornea costaricensis,0,400,400,N/A,N/A,N/A,N/A
Alchornea glandulosa,800,2200,2500,2200,3000,2200,N/A
Alchornea grandiflora,900,1500,1200,1800,2200,600,N/A
Alchornea grandis,500,1400,1300,300,900,0,N/A
Alchornea latifolia,1000,2000,1900,800,1200,1700,N/A
Alchornea megalophylla,0,0,N/A,N/A,N/A,N/A,N/A
Alchornea pearcei,0,0,700,1400,1800,1400,N/A
Alchornea triplinervia,0,3800,2000,1900,2300,2100,N/A
Alchornea verticillata,400,N/A,N/A,N/A,N/A,N/A,N/A
Alchorneopsis floribunda,0,400,600,500,600,N/A,N/A
Alfaroa colombiana,2100,500,N/A,N/A,N/A,N/A,N/A
Alfaroa williamsii,0,0,N/A,N/A,N/A,N/A,N/A
Allomaieta hirsuta,100,N/A,N/A,N/A,N/A,N/A,N/A
Allomaieta pancurana,0,N/A,N/A,N/A,N/A,N/A,N/A
Allomaieta villosa,400,N/A,N/A,N/A,N/A,N/A,N/A
Allophylus excelsus,0,2300,1500,0,100,0,N/A
Allophylus floribundus,0,2100,1800,2400,1900,1800,N/A
Allophylus psilospermus,0,1100,900,N/A,N/A,500,N/A
Alnus acuminata,600,1900,2400,3400,2000,3000,1600
Alseis blackiana,200,300,N/A,N/A,300,N/A,N/A
Ciliosemina pedunculata,1100,900,500,1000,N/A,N/A,N/A
Ciliosemina purdieana,0,N/A,N/A,N/A,N/A,N/A,N/A
Cinchona antioquiae,0,1100,N/A,N/A,N/A,N/A,N/A
Cinchona macrocalyx,0,0,1100,600,900,0,N/A
Cinchona officinalis,0,1000,1600,0,1500,1100,N/A
Cinchona pubescens,1800,1800,2000,2200,2600,2700,N/A
Cissus trianae,1500,600,800,1600,1500,1000,N/A
Citronella incarum,200,1700,2500,2700,2900,400,N/A
Citrus X aurantium,100,900,2000,1100,100,0,1100
Citrus limon,2600,1500,500,1100,N/A,0,N/A
Clarisia biflora,1400,1600,1600,2000,2800,1300,N/A
Clarisia racemosa,0,1100,1200,800,1200,1100,N/A
Clathrotropis brunnea,0,N/A,N/A,N/A,N/A,N/A,N/A
Clavija mezii,200,0,N/A,N/A,N/A,N/A,N/A
Clethra fagifolia,2000,2500,1400,N/A,0,0,N/A
Clethra fimbriata,1200,900,2500,1300,0,600,N/A
Clethra ovalifolia,400,700,1800,1300,N/A,N/A,N/A
Clethra revoluta,2100,1200,1600,1500,2500,1200,N/A
Clusia alata,1800,2100,1600,200,900,N/A,N/A
Clusia articulata,2100,0,0,N/A,N/A,N/A,N/A
Clusia candelabrum,0,400,N/A,N/A,N/A,N/A,N/A
Clusia crenata,400,700,600,0,N/A,N/A,N/A
Clusia cuneifolia,0,0,1300,N/A,N/A,N/A,N/A
Clusia decussata,0,1600,900,0,0,N/A,N/A
Clusia dixonii,300,1400,900,N/A,N/A,N/A,N/A
Clusia ducu,200,1200,1300,700,800,1000,N/A
Clusia ducuoides,1400,700,2300,1300,1000,0,N/A
Clusia elliptica,900,400,1300,1500,1500,1300,N/A
Clusia flavida,1300,500,2000,1500,1200,300,N/A
Clusia hammeliana,1100,800,1200,500,1400,400,N/A
Clusia haughtii,400,1500,600,300,600,1100,N/A
Clusia hydrogera,300,200,1200,N/A,N/A,N/A,N/A
Clusia inesiana,100,2200,N/A,N/A,N/A,N/A,N/A
Clusia lineata,500,2100,1900,700,0,N/A,N/A
Clusia minor,500,1500,1300,2000,900,0,N/A
Clusia mocoensis,0,1700,1200,N/A,N/A,N/A,N/A
Clusia multiflora,2000,2300,2400,800,2600,1600,N/A
Clusia palmicida,1200,0,300,0,N/A,N/A,N/A
Clusia penduliflora,0,1400,1500,0,0,1000,N/A
Clusia pentandra,0,400,0,N/A,N/A,N/A,N/A
Clusia schomburgkiana,100,1300,600,200,0,N/A,N/A
Clusia sphaerocarpa,0,0,2400,1400,1500,2400,N/A
Clusia thurifera,600,0,1000,200,700,N/A,N/A
