Species,Min Elevation Bracket,Max Elevation Bracket
Abatia parviflora,2800-2899,3100-3199
Acalypha cuneata,N/A,N/A
Acalypha diversifolia,100-199,1900-1999
Acalypha macrostachya,200-299,2800-2899
Acalypha stricta,N/A,N/A
Achatocarpus nigricans,500-599,500-599
Adenocalymma aspericarpum,N/A,N/A
Aegiphila alba,N/A,N/A
Aegiphila bogotensis,2900-2999,3100-3199
Aegiphila cuatrecasasii,N/A,N/A
Aegiphila integrifolia,1100-1199,1100-1199
Aegiphila laeta,N/A,N/A
Aegiphila panamensis,1600-1699,1600-1699
Aequatorium jamesonii,3400-3499,3700-3799
Ageratina boyacensis,2900-2999,2900-2999
Ageratina glyptophlebia,2700-2799,4000-4099
Ageratina popayanensis,1800-1899,3700-3799
Ageratina tinifolia,2700-2799,3900-3999
Agouticarpa williamsii,N/A,N/A
Aiouea dubia,2800-2899,3100-3199
Aiouea palaciosii,N/A,N/A
Aiouea vexatrix,N/A,N/A
Aiphanes hirsuta,1300-1399,1900-1999
Aiphanes horrida,1300-1399,1500-1599
Aiphanes linearis,N/A,N/A
Aiphanes parvifolia,1600-1699,1600-1699
Albizia carbonaria,100-199,1600-1699
Albizia niopoides,100-199,200-299
Albizia subdimidiata,N/A,N/A
Alchornea acutifolia,N/A,N/A
Alchornea bogotensis,2800-2899,2800-2899
Alchornea brittonii,N/A,N/A
Alchornea coelophylla,2700-2799,2700-2799
Alchornea costaricensis,N/A,N/A
Alchornea floribunda,N/A,N/A
Alchornea glandulosa,1100-1199,1900-1999
Alchornea grandiflora,1600-1699,2500-2599
Alchornea grandis,N/A,N/A
Alchornea latifolia,700-799,1700-1799
Alchornea megalophylla,1300-1399,1300-1399
Alchornea pearcei,N/A,N/A
Alchornea triplinervia,1900-1999,1900-1999
Alchornea verticillata,2400-2499,2800-2899
Alchorneopsis floribunda,3800-3899,3800-3899
Alfaroa colombiana,N/A,N/A
Alfaroa williamsii,1600-1699,1600-1699
Alibertia bertierifolia,N/A,N/A
Allomaieta hirsuta,N/A,N/A
Allomaieta pancurana,N/A,N/A
Allomaieta villosa,N/A,N/A
Allophylus amazonicus,N/A,N/A
Allophylus edulis,N/A,N/A
Allophylus excelsus,1300-1399,1300-1399
Allophylus floribundus,N/A,N/A
Allophylus loretensis,N/A,N/A
Allophylus psilospermus,N/A,N/A
Allophylus punctatus,N/A,N/A
Alnus acuminata,2800-2899,3400-3499
Alseis blackiana,N/A,N/A
Chrysophyllum venezuelanense,N/A,N/A
Ciliosemina pedunculata,N/A,N/A
Ciliosemina purdieana,N/A,N/A
Cinchona antioquiae,N/A,N/A
Cinchona macrocalyx,N/A,N/A
Cinchona officinalis,2800-2899,2800-2899
Cinchona pubescens,1300-1399,3100-3199
Cinchonopsis amazonica,N/A,N/A
Cissus trianae,1300-1399,2800-2899
Citharexylum montanum,N/A,N/A
Citronella incarum,N/A,N/A
Citrus X aurantium,1500-1599,1600-1699
Citrus limon,200-299,2800-2899
Clarisia biflora,N/A,N/A
Clarisia racemosa,1900-1999,1900-1999
Clathrotropis brunnea,300-399,300-399
Clavija cauliflora,N/A,N/A
Clavija mezii,N/A,N/A
Clethra fagifolia,1600-1699,3600-3699
Clethra fimbriata,2700-2799,3900-3999
Clethra ovalifolia,2700-2799,3100-3199
Clethra revoluta,1200-1299,3300-3399
Clethra scabra,N/A,N/A
Clitoria arborea,N/A,N/A
Clusia alata,1300-1399,3100-3199
Clusia articulata,1200-1299,3300-3399
Clusia candelabrum,N/A,N/A
Clusia colombiana,N/A,N/A
Clusia crenata,1400-1499,1800-1899
Clusia cuneifolia,2700-2799,2700-2799
Clusia decussata,1900-1999,1900-1999
Clusia dixonii,1300-1399,1600-1699
Clusia ducu,2700-2799,2900-2999
Clusia ducuoides,1400-1499,2800-2899
Clusia elliptica,2700-2799,3600-3699
Clusia flavida,N/A,N/A
Clusia hammeliana,N/A,N/A
Clusia haughtii,N/A,N/A
Clusia hydrogera,1300-1399,1600-1699
Clusia inesiana,2800-2899,2900-2999
Clusia lineata,1100-1199,1600-1699
Clusia minor,1300-1399,1800-1899
Clusia mocoensis,1300-1399,1300-1399
Clusia multiflora,1300-1399,3300-3399
Clusia octandra,N/A,N/A
Clusia palmicida,N/A,N/A
Clusia penduliflora,N/A,N/A
Clusia pentandra,1600-1699,1600-1699
Clusia schomburgkiana,1700-1799,1800-1899
Clusia sphaerocarpa,N/A,N/A
Clusia thurifera,2800-2899,3400-3499
Clusia trochiformis,1300-1399,2900-2999
Clusia volubilis,N/A,N/A
Coccoloba acuminata,N/A,N/A
