Species,Min Elevation Bracket,Max Elevation Bracket
Abatia parviflora,500-599,3100-3199
Acalypha cuneata,100-199,1600-1699
Acalypha diversifolia,100-199,3800-3899
Acalypha macrostachya,400-499,1700-1799
Acalypha stenoloba,400-499,2200-2299
Acalypha stricta,100-199,1000-1099
Achatocarpus pubescens,600-699,800-899
Actinostemon concolor,N/A,N/A
Aegiphila aculeifera,2300-2399,2300-2399
Aegiphila alba,400-499,2900-2999
Aegiphila bogotensis,500-599,3100-3199
Aegiphila cuatrecasasii,1300-1399,2300-2399
Aegiphila integrifolia,100-199,1600-1699
Aegiphila lopez-palacii,1700-1799,1700-1799
Aegiphila monticola,2100-2199,3000-3099
Aegiphila panamensis,200-299,2100-2199
Aequatorium jamesonii,2800-2899,3800-3899
Ageratina tinifolia,3000-3099,3000-3099
Agonandra excelsa,600-699,1700-1799
Agonandra peruviana,200-299,800-899
Agonandra silvatica,100-199,600-699
Agouticarpa williamsii,700-799,1700-1799
Aiouea dubia,2100-2199,2900-2999
Aiouea formicaria,1700-1799,2100-2199
Aiouea grandifolia,N/A,N/A
Aiouea palaciosii,1300-1399,1300-1399
Aiphanes horrida,500-599,500-599
Albizia multiflora,600-699,1100-1199
Albizia niopoides,400-499,1000-1099
Albizia subdimidiata,N/A,N/A
Alchornea acutifolia,2700-2799,2700-2799
Alchornea bogotensis,2000-2099,2400-2499
Alchornea brittonii,800-899,800-899
Alchornea coelophylla,800-899,2200-2299
Alchornea costaricensis,600-699,1000-1099
Alchornea floribunda,N/A,N/A
Alchornea glandulosa,100-199,2600-2699
Alchornea grandiflora,1000-1099,2200-2299
Alchornea grandis,600-699,1900-1999
Alchornea latifolia,200-299,2100-2199
Alchornea pearcei,1600-1699,2300-2399
Alchornea triplinervia,100-199,2100-2199
Alchorneopsis floribunda,100-199,700-799
Alibertia bertierifolia,100-199,500-599
Allophylus amazonicus,100-199,700-799
Allophylus coriaceus,2600-2699,2600-2699
Allophylus divaricatus,100-199,700-799
Allophylus dodsonii,N/A,N/A
Allophylus edulis,N/A,N/A
Allophylus excelsus,800-899,2300-2399
Allophylus floribundus,100-199,2000-2099
Allophylus glabratus,400-499,400-499
